#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> journal_3_s_3.14_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-03 9.826924e-01 1.086795e+00 2.336996e+07 1.859531e+03 -7.414460e-03 4.479885e-04
1.039122e-03 9.353923e-01 9.505519e-01 1.664606e+07 1.324562e+03 4.994476e-02 4.900694e-04
1.079775e-03 9.515780e-01 9.667384e-01 1.665284e+07 1.325037e+03 -5.052561e-02 4.582405e-04
1.122018e-03 9.280849e-01 9.300967e-01 1.693804e+07 1.347741e+03 -9.167552e-03 4.262924e-04
1.165914e-03 9.827970e-01 9.726315e-01 1.686550e+07 1.342018e+03 8.486271e-03 4.819632e-04
1.211527e-03 1.019708e+00 1.005974e+00 1.624167e+07 1.292380e+03 -5.369848e-02 4.696846e-04
1.258925e-03 1.016518e+00 1.006414e+00 1.592578e+07 1.267291e+03 -4.826576e-02 4.491806e-04
1.308177e-03 9.700290e-01 9.506180e-01 1.345244e+07 1.070477e+03 -3.755951e-02 4.518032e-04
1.359356e-03 1.028821e+00 1.016605e+00 1.533119e+07 1.219970e+03 2.944529e-02 4.222393e-04
1.412537e-03 1.022278e+00 9.856929e-01 1.347963e+07 1.072553e+03 2.885973e-02 4.700422e-04
1.467799e-03 9.837752e-01 1.029524e+00 1.429791e+07 1.137649e+03 -7.062912e-02 4.378557e-04
1.525222e-03 1.024537e+00 1.041192e+00 1.469449e+07 1.169147e+03 -8.075833e-02 4.260540e-04
1.584893e-03 1.045502e+00 1.013166e+00 1.275616e+07 1.015020e+03 -5.886906e-02 4.769564e-04
1.646897e-03 1.043628e+00 9.787319e-01 1.186819e+07 9.444076e+02 1.729071e-02 4.434586e-04
1.711327e-03 9.907297e-01 1.013397e+00 1.218978e+07 9.699023e+02 4.765153e-03 4.550219e-04
1.778278e-03 1.022382e+00 9.875954e-01 1.085973e+07 8.641906e+02 -3.492278e-02 4.726648e-04
1.847849e-03 9.994565e-01 9.691115e-01 1.017170e+07 8.093541e+02 -1.007501e-01 4.328489e-04
1.920141e-03 1.065884e+00 1.008996e+00 1.062242e+07 8.453381e+02 1.947653e-02 4.824400e-04
1.995261e-03 1.076003e+00 1.013778e+00 9.853440e+06 7.840256e+02 -6.655681e-02 4.665852e-04
2.073320e-03 1.082545e+00 1.027173e+00 1.039722e+07 8.274618e+02 -4.662192e-02 4.370213e-04
2.154433e-03 1.111643e+00 1.001247e+00 9.187580e+06 7.311953e+02 -4.668504e-02 4.248619e-04
2.238719e-03 1.120548e+00 1.002673e+00 9.005992e+06 7.166270e+02 1.906753e-03 4.374981e-04
2.326303e-03 1.160979e+00 1.054397e+00 9.734797e+06 7.747312e+02 -7.917434e-02 4.496574e-04
2.417313e-03 1.162958e+00 1.019048e+00 8.701157e+06 6.923813e+02 -1.238847e-02 4.588366e-04
2.511884e-03 1.179665e+00 1.004917e+00 8.008729e+06 6.373550e+02 2.739763e-02 4.233122e-04
2.610155e-03 1.208826e+00 1.006449e+00 7.590687e+06 6.040423e+02 1.295161e-02 4.645586e-04
2.712270e-03 1.254657e+00 1.008472e+00 7.604119e+06 6.052128e+02 7.383776e-02 4.689693e-04
2.818380e-03 1.251880e+00 1.025607e+00 7.460738e+06 5.936992e+02 -6.595850e-04 3.989935e-04
2.928642e-03 1.290242e+00 9.754567e-01 6.588692e+06 5.243716e+02 -3.906888e-02 4.398823e-04
3.043217e-03 1.330322e+00 1.007098e+00 6.537832e+06 5.202081e+02 3.157055e-02 4.292727e-04
3.162274e-03 1.360966e+00 1.019189e+00 6.553022e+06 5.215514e+02 -7.908648e-02 4.658699e-04
3.285990e-03 1.419065e+00 9.983016e-01 5.795143e+06 4.611183e+02 8.884275e-02 4.615784e-04
3.414545e-03 1.442724e+00 9.932000e-01 5.803392e+06 4.618237e+02 -6.930828e-02 4.698038e-04
3.548130e-03 1.492538e+00 1.033907e+00 5.962130e+06 4.742792e+02 -1.697654e-02 4.521608e-04
3.686941e-03 1.543826e+00 1.041877e+00 5.964210e+06 4.746993e+02 -5.605400e-03 4.403591e-04
3.831182e-03 1.583300e+00 1.008386e+00 5.369248e+06 4.271808e+02 -4.718113e-02 4.882812e-04
3.981066e-03 1.638192e+00 1.010973e+00 5.108854e+06 4.064492e+02 4.559755e-04 4.819632e-04
4.136815e-03 1.664724e+00 9.963040e-01 4.689676e+06 3.734711e+02 -1.708573e-02 4.465580e-04
4.298656e-03 1.740237e+00 9.746379e-01 4.320356e+06 3.436690e+02 -1.690120e-02 4.657507e-04
4.466829e-03 1.778681e+00 1.017824e+00 4.528710e+06 3.605445e+02 5.944133e-03 4.659891e-04
4.641582e-03 1.837106e+00 9.935166e-01 4.170839e+06 3.318514e+02 -1.288056e-03 4.644394e-04
4.823171e-03 1.896505e+00 9.877031e-01 3.938980e+06 3.135900e+02 1.833570e-02 4.501343e-04
5.011864e-03 1.952565e+00 9.650444e-01 3.705192e+06 2.948963e+02 -2.033699e-02 4.590750e-04
5.207940e-03 2.008200e+00 9.859639e-01 3.644593e+06 2.898351e+02 -4.434663e-02 4.565716e-04
5.411686e-03 2.067681e+00 1.016456e+00 3.762181e+06 2.997117e+02 4.488504e-02 4.464388e-04
5.623404e-03 2.137153e+00 9.874936e-01 3.420335e+06 2.725713e+02 3.646982e-02 4.649162e-04
5.843404e-03 2.202970e+00 1.007291e+00 3.386915e+06 2.696874e+02 -2.721888e-02 4.458427e-04
6.072011e-03 2.267757e+00 1.013022e+00 3.355238e+06 2.667908e+02 -3.704959e-02 4.491806e-04
6.309562e-03 2.329661e+00 1.001671e+00 3.219996e+06 2.557301e+02 1.473737e-02 4.044771e-04
6.556407e-03 2.402967e+00 1.018780e+00 3.103750e+06 2.468722e+02 -7.107067e-02 5.027056e-04
6.812908e-03 2.462934e+00 9.979001e-01 2.904482e+06 2.307390e+02 -1.810193e-02 4.403591e-04
7.079445e-03 2.540089e+00 9.978434e-01 2.832072e+06 2.258396e+02 -5.602860e-02 4.793406e-04
7.356409e-03 2.610065e+00 1.008579e+00 2.778793e+06 2.204003e+02 -4.222518e-02 4.289150e-04
7.644208e-03 2.684370e+00 1.028837e+00 2.692073e+06 2.139704e+02 6.621838e-03 4.736185e-04
7.943267e-03 2.753029e+00 1.013793e+00 2.586233e+06 2.051647e+02 -1.170659e-02 4.714727e-04
8.254025e-03 2.831626e+00 9.982538e-01 2.421454e+06 1.941054e+02 -1.909435e-02 4.875660e-04
8.576942e-03 2.908108e+00 9.830394e-01 2.297559e+06 1.827048e+02 5.980611e-03 4.494190e-04
8.912491e-03 2.984357e+00 9.795663e-01 2.166456e+06 1.720783e+02 -3.532851e-02 4.733801e-04
9.261168e-03 3.063998e+00 9.893945e-01 2.128036e+06 1.687246e+02 -3.617567e-02 4.420280e-04
9.623486e-03 3.147889e+00 9.968551e-01 2.090818e+06 1.667205e+02 -5.003047e-02 4.602671e-04
9.999978e-03 3.224723e+00 9.879815e-01 2.017053e+06 1.603849e+02 -1.480860e-02 4.522800e-04
1.039120e-02 3.304611e+00 9.793289e-01 1.885668e+06 1.507210e+02 -4.651427e-03 4.551411e-04
1.079773e-02 3.384814e+00 1.000756e+00 1.850481e+06 1.474360e+02 2.737117e-02 4.332066e-04
1.122016e-02 3.458104e+00 1.002342e+00 1.790250e+06 1.431401e+02 6.066012e-02 4.774332e-04
1.165912e-02 3.534024e+00 9.904082e-01 1.669263e+06 1.330484e+02 2.252436e-02 4.433393e-04
1.211525e-02 3.615086e+00 9.962116e-01 1.646335e+06 1.311335e+02 2.148080e-02 4.639626e-04
1.258922e-02 3.694843e+00 1.001058e+00 1.594300e+06 1.264531e+02 -7.500052e-03 4.639626e-04
1.308174e-02 3.768172e+00 9.899930e-01 1.511628e+06 1.211360e+02 -3.717482e-02 4.866123e-04
1.359353e-02 3.846429e+00 9.824457e-01 1.438572e+06 1.147749e+02 -2.031744e-02 4.819632e-04
1.412534e-02 3.926123e+00 9.930971e-01 1.404212e+06 1.122641e+02 -1.236320e-03 5.062819e-04
1.467795e-02 4.004956e+00 9.999875e-01 1.383282e+06 1.109756e+02 3.723788e-02 4.833937e-04
1.525219e-02 4.078925e+00 1.000052e+00 1.323663e+06 1.052867e+02 6.797707e-02 5.017519e-04
1.584889e-02 4.151176e+00 1.001343e+00 1.276850e+06 1.002447e+02 6.759930e-02 4.935265e-04
1.646893e-02 4.221178e+00 9.865250e-01 1.179978e+06 9.457623e+01 4.654860e-02 5.003214e-04
1.711324e-02 4.289944e+00 9.837729e-01 1.118706e+06 8.962588e+01 3.885508e-03 5.027056e-04
1.778275e-02 4.354737e+00 9.754670e-01 1.073224e+06 8.337682e+01 3.123999e-03 4.662275e-04
1.847845e-02 4.416391e+00 9.990957e-01 1.060806e+06 8.308652e+01 3.996253e-03 4.880428e-04
1.920136e-02 4.476001e+00 9.929252e-01 1.000774e+06 7.817181e+01 7.264614e-03 5.084276e-04
1.995257e-02 4.532485e+00 9.816287e-01 9.595366e+05 7.573738e+01 3.165054e-02 4.605055e-04
2.073316e-02 4.586866e+00 9.919149e-01 9.384312e+05 7.632816e+01 1.519513e-02 5.103350e-04
2.154428e-02 4.639702e+00 9.887162e-01 8.919464e+05 7.090926e+01 1.512218e-02 4.972219e-04
2.238715e-02 4.684943e+00 9.812202e-01 8.484349e+05 6.824055e+01 4.131627e-02 4.827976e-04
2.326298e-02 4.728409e+00 9.760231e-01 8.103303e+05 6.470603e+01 5.031466e-03 4.929304e-04
2.417308e-02 4.766098e+00 9.815887e-01 7.742271e+05 5.899683e+01 8.893251e-03 4.955530e-04
2.511879e-02 4.800950e+00 9.956569e-01 7.611171e+05 6.142617e+01 9.001136e-03 4.745722e-04
2.610149e-02 4.830869e+00 9.915547e-01 7.212774e+05 5.685269e+01 1.674724e-02 5.010366e-04
2.712264e-02 4.859682e+00 9.949059e-01 6.994043e+05 5.630265e+01 5.420566e-03 4.696846e-04
2.818374e-02 4.880591e+00 1.003098e+00 6.815342e+05 5.550306e+01 1.224732e-02 4.795790e-04
2.928635e-02 4.894370e+00 1.008078e+00 6.583475e+05 5.314502e+01 2.051115e-03 5.145073e-04
3.043210e-02 4.907322e+00 1.007235e+00 6.266432e+05 5.162222e+01 -1.609290e-02 4.822016e-04
3.162267e-02 4.913921e+00 1.000340e+00 6.011222e+05 4.651398e+01 8.374691e-03 4.531145e-04
3.285982e-02 4.914537e+00 9.998038e-01 5.844301e+05 4.608109e+01 5.188584e-03 4.777908e-04
3.414537e-02 4.911792e+00 1.003605e+00 5.557444e+05 4.627971e+01 2.258551e-02 4.938841e-04
3.548122e-02 4.902932e+00 1.011125e+00 5.331256e+05 4.178772e+01 2.808619e-02 4.720688e-04
3.686932e-02 4.892032e+00 1.027482e+00 5.290981e+05 4.177244e+01 3.374815e-02 4.923344e-04
3.831173e-02 4.873855e+00 1.012886e+00 4.925795e+05 4.040753e+01 1.647282e-02 5.341768e-04
3.981058e-02 4.852427e+00 1.015726e+00 4.748083e+05 3.769807e+01 3.061378e-02 5.153418e-04
4.136806e-02 4.824615e+00 1.014703e+00 4.580796e+05 3.835507e+01 3.047264e-02 5.059242e-04
4.298647e-02 4.792205e+00 1.014615e+00 4.418112e+05 3.430107e+01 2.236557e-02 4.897118e-04
4.466820e-02 4.758562e+00 1.013585e+00 4.235547e+05 3.476962e+01 8.251071e-03 5.192757e-04
4.641572e-02 4.718585e+00 1.017306e+00 4.048492e+05 3.256947e+01 -1.003057e-02 5.376339e-04
4.823161e-02 4.675379e+00 1.005577e+00 3.814036e+05 2.917756e+01 2.703035e-02 5.176067e-04
5.011854e-02 4.627800e+00 1.003592e+00 3.644999e+05 2.951369e+01 1.563668e-02 5.587339e-04
5.207929e-02 4.576200e+00 1.011359e+00 3.536252e+05 3.006882e+01 -1.104802e-02 5.122423e-04
5.411675e-02 4.521420e+00 9.943143e-01 3.315112e+05 2.564304e+01 -2.903849e-02 5.382299e-04
5.623392e-02 4.463573e+00 9.868633e-01 3.122970e+05 2.293868e+01 -1.803792e-02 5.018711e-04
5.843392e-02 4.403889e+00 1.003596e+00 3.079146e+05 2.298452e+01 -1.242030e-02 5.501509e-04
6.071998e-02 4.340715e+00 9.903576e-01 2.889054e+05 2.011718e+01 -1.534849e-02 5.283356e-04
6.309549e-02 4.275231e+00 9.925742e-01 2.779496e+05 1.887450e+01 -6.330669e-03 5.453825e-04
6.556392e-02 4.208399e+00 1.003125e+00 2.696391e+05 2.181823e+01 -1.982987e-03 5.773306e-04
6.812894e-02 4.138832e+00 9.954723e-01 2.534034e+05 1.800361e+01 -1.008862e-02 5.244017e-04
7.079429e-02 4.068413e+00 9.931318e-01 2.409702e+05 1.750959e+01 -2.997398e-03 5.536079e-04
7.356393e-02 3.996049e+00 9.916146e-01 2.315496e+05 1.820223e+01 -3.424168e-03 5.853176e-04
7.644191e-02 3.922433e+00 9.924840e-01 2.243150e+05 1.767256e+01 -1.767993e-03 5.340576e-04
7.943249e-02 3.847156e+00 9.829764e-01 2.129856e+05 1.938889e+01 2.037394e-02 5.902052e-04
8.254007e-02 3.771233e+00 9.814228e-01 2.032227e+05 1.758598e+01 1.095581e-02 5.737543e-04
8.576923e-02 3.695688e+00 9.889492e-01 1.989314e+05 1.515664e+01 2.206922e-03 6.030798e-04
8.912471e-02 3.618646e+00 1.000884e+00 1.952278e+05 1.560482e+01 2.555966e-03 6.152391e-04
9.261147e-02 3.541514e+00 9.993365e-01 1.870768e+05 1.555135e+01 3.020763e-03 6.284714e-04
9.623464e-02 3.463399e+00 9.988995e-01 1.791019e+05 1.517956e+01 8.617878e-03 6.687641e-04
9.999956e-02 3.386301e+00 9.992362e-01 1.728443e+05 1.569140e+01 1.984835e-04 6.879568e-04
1.039118e-01 3.309183e+00 9.891818e-01 1.626244e+05 1.350398e+01 -4.414320e-03 6.988049e-04
1.079770e-01 3.233005e+00 9.863621e-01 1.569609e+05 1.227912e+01 -3.390610e-03 6.767511e-04
1.122013e-01 3.157131e+00 9.917916e-01 1.515032e+05 1.184367e+01 6.342769e-03 7.280111e-04
1.165909e-01 3.082010e+00 9.940551e-01 1.485842e+05 1.271457e+01 -2.517462e-03 7.078648e-04
1.211522e-01 3.006803e+00 9.966084e-01 1.423642e+05 1.268911e+01 1.842737e-03 7.349253e-04
1.258920e-01 2.932446e+00 9.953343e-01 1.363225e+05 1.129618e+01 1.877546e-04 7.141829e-04
1.308171e-01 2.859632e+00 9.902008e-01 1.296668e+05 1.189460e+01 -7.690012e-03 7.734299e-04
1.359350e-01 2.788064e+00 9.886245e-01 1.255034e+05 9.320113e+00 -1.243317e-02 7.750988e-04
1.412531e-01 2.716732e+00 9.903859e-01 1.205054e+05 1.046094e+01 1.713395e-03 7.883310e-04
1.467792e-01 2.646907e+00 9.954161e-01 1.167869e+05 9.442344e+00 -2.833128e-03 8.206367e-04
1.525216e-01 2.578506e+00 9.984264e-01 1.122270e+05 8.110536e+00 -3.950119e-03 8.265972e-04
1.584886e-01 2.510541e+00 9.940963e-01 1.077836e+05 8.428845e+00 -2.240717e-03 8.541346e-04
1.646890e-01 2.444607e+00 9.956123e-01 1.046758e+05 7.485375e+00 8.525729e-03 8.925200e-04
1.711320e-01 2.379571e+00 9.918891e-01 9.983593e+04 7.638164e+00 2.186382e-02 8.952618e-04
1.778271e-01 2.316574e+00 9.988845e-01 9.842165e+04 6.880586e+00 4.630566e-03 8.872747e-04
1.847841e-01 2.254550e+00 9.895451e-01 9.429278e+04 7.358051e+00 -1.836002e-03 9.189844e-04
1.920132e-01 2.193843e+00 9.981578e-01 9.189848e+04 7.272744e+00 -3.563517e-02 9.666681e-04
1.995252e-01 2.134992e+00 9.965854e-01 8.854440e+04 7.131414e+00 -2.379131e-02 9.638071e-04
2.073311e-01 2.077275e+00 9.959008e-01 8.626231e+04 7.584688e+00 -2.911001e-02 9.930134e-04
2.154424e-01 2.020959e+00 9.936501e-01 8.304381e+04 7.341499e+00 -2.981818e-02 1.006603e-03
2.238710e-01 1.966088e+00 9.961348e-01 8.070395e+04 6.604293e+00 -1.280439e-02 1.048088e-03
2.326293e-01 1.912845e+00 9.969730e-01 7.861864e+04 6.408215e+00 -1.568031e-02 1.091480e-03
2.417303e-01 1.861122e+00 9.955971e-01 7.619745e+04 6.042795e+00 8.879900e-04 1.078844e-03
2.511873e-01 1.810815e+00 1.005039e+00 7.490302e+04 6.070169e+00 -8.353293e-03 1.123309e-03
2.610143e-01 1.761745e+00 9.995998e-01 7.178608e+04 5.714935e+00 -1.420569e-02 1.174688e-03
2.712258e-01 1.714517e+00 1.000546e+00 6.928533e+04 5.833983e+00 5.779624e-03 1.190305e-03
2.818368e-01 1.668298e+00 1.002084e+00 6.763206e+04 5.824434e+00 4.071116e-03 1.217604e-03
2.928629e-01 1.623348e+00 1.010795e+00 6.640484e+04 5.535408e+00 1.362789e-02 1.228094e-03
3.043203e-01 1.580036e+00 1.009154e+00 6.395611e+04 5.135612e+00 3.641605e-03 1.253843e-03
3.162260e-01 1.537689e+00 9.893993e-01 6.071295e+04 4.516181e+00 -1.214576e-02 1.286864e-03
3.285975e-01 1.497084e+00 9.958631e-01 5.938155e+04 4.535279e+00 -1.705581e-02 1.285315e-03
3.414530e-01 1.458001e+00 9.980647e-01 5.783572e+04 4.624406e+00 -1.968199e-02 1.284361e-03
3.548115e-01 1.419671e+00 9.998202e-01 5.640790e+04 4.468434e+00 -1.512718e-02 1.382470e-03
3.686925e-01 1.382721e+00 9.935791e-01 5.455050e+04 4.431510e+00 2.200365e-03 1.348138e-03
3.831166e-01 1.347337e+00 1.009742e+00 5.381082e+04 4.534006e+00 -2.476037e-03 1.417756e-03
3.981051e-01 1.312914e+00 1.005706e+00 5.260370e+04 4.537189e+00 6.881952e-03 1.450896e-03
4.136799e-01 1.280100e+00 1.010198e+00 5.146688e+04 3.929854e+00 -1.950783e-02 1.472712e-03
4.298640e-01 1.248497e+00 1.002924e+00 4.961390e+04 3.821947e+00 -1.011729e-03 1.508951e-03
4.466813e-01 1.217835e+00 1.006694e+00 4.847348e+04 4.093147e+00 9.478331e-04 1.549125e-03
4.641565e-01 1.188480e+00 1.010943e+00 4.764898e+04 4.097603e+00 3.070831e-04 1.541376e-03
4.823154e-01 1.159825e+00 1.006274e+00 4.605399e+04 3.988741e+00 -1.310247e-02 1.576304e-03
5.011847e-01 1.132553e+00 1.010708e+00 4.526863e+04 3.804440e+00 -2.065772e-02 1.589894e-03
5.207922e-01 1.106342e+00 1.003539e+00 4.363828e+04 3.627778e+00 -1.983464e-02 1.643419e-03
5.411668e-01 1.081406e+00 1.003890e+00 4.285361e+04 3.291324e+00 -4.747629e-03 1.666188e-03
5.623385e-01 1.057179e+00 1.001570e+00 4.154277e+04 3.134397e+00 9.560823e-03 1.670599e-03
5.843385e-01 1.034199e+00 1.013111e+00 4.152093e+04 3.173868e+00 2.695978e-02 1.726627e-03
6.071991e-01 1.012082e+00 1.008618e+00 4.083615e+04 3.297690e+00 2.847409e-02 1.779914e-03
6.309542e-01 9.909129e-01 1.017671e+00 4.044864e+04 3.201561e+00 1.211309e-02 1.801014e-03
6.556386e-01 9.708313e-01 1.014958e+00 3.944328e+04 3.172913e+00 6.105900e-03 1.831770e-03
6.812887e-01 9.513583e-01 1.010668e+00 3.843758e+04 3.022034e+00 3.796220e-03 1.871228e-03
7.079422e-01 9.331453e-01 1.010294e+00 3.758468e+04 2.949459e+00 -4.576564e-03 1.862645e-03
7.356386e-01 9.159946e-01 1.013111e+00 3.734430e+04 2.913968e+00 -2.141774e-03 1.907706e-03
7.644184e-01 8.996182e-01 1.013656e+00 3.670764e+04 2.970468e+00 -2.541900e-03 1.942873e-03
7.943242e-01 8.840278e-01 1.012180e+00 3.592254e+04 2.831685e+00 1.337099e-02 1.965880e-03
8.254001e-01 8.693306e-01 1.016571e+00 3.530262e+04 2.900758e+00 -9.713948e-03 1.986742e-03
8.576916e-01 8.553395e-01 1.013393e+00 3.453596e+04 2.983518e+00 -3.500164e-03 2.018690e-03
8.912464e-01 8.424931e-01 1.014246e+00 3.364469e+04 3.039859e+00 -8.300006e-03 1.999617e-03
9.261141e-01 8.302433e-01 1.011181e+00 3.286051e+04 2.930679e+00 2.850413e-03 2.027988e-03
9.623458e-01 8.188329e-01 1.010605e+00 3.238292e+04 2.872587e+00 1.198804e-02 2.058148e-03
9.999950e-01 8.082846e-01 1.000149e+00 3.145328e+04 2.710727e+00 2.179384e-03 2.034068e-03
1.039117e+00 7.986928e-01 1.004168e+00 3.111954e+04 2.508282e+00 4.262447e-03 2.076149e-03
1.079770e+00 7.897297e-01 1.005398e+00 3.090917e+04 2.573854e+00 6.517529e-03 2.086282e-03
1.122013e+00 7.814211e-01 1.001960e+00 3.041316e+04 2.401489e+00 -6.754339e-03 2.086163e-03
1.165909e+00 7.738789e-01 9.912945e-01 2.981088e+04 2.389871e+00 -8.309543e-03 2.078772e-03
1.211522e+00 7.671968e-01 9.913171e-01 2.951078e+04 2.335917e+00 -1.763850e-02 2.118468e-03
1.258919e+00 7.613402e-01 1.002110e+00 3.000380e+04 2.281327e+00 -1.804131e-02 2.168894e-03
1.308171e+00 7.558760e-01 1.010994e+00 3.020397e+04 2.306951e+00 -7.171631e-04 2.194881e-03
1.359350e+00 7.513166e-01 1.009266e+00 2.977227e+04 2.300744e+00 -2.114713e-03 2.170801e-03
