#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:0.95:2.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:0.95:2.05:100:1_s:0.95:2.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
2.716448e+01 8.912509e+00 -9.595628e-02 1.006650e+00 1.655930e+06 1.317752e+02 4.410982e-03 4.686117e-04
2.786130e+01 8.912509e+00 -9.745158e-02 1.008185e+00 1.700890e+06 1.353524e+02 2.683794e-02 4.634857e-04
2.857600e+01 8.912509e+00 -9.303392e-02 1.013551e+00 1.753563e+06 1.395444e+02 2.121150e-02 4.585981e-04
2.930903e+01 8.912509e+00 -9.103362e-02 9.984858e-01 1.751802e+06 1.394045e+02 -1.214027e-03 4.571676e-04
3.006087e+01 8.912509e+00 -8.775803e-02 1.000781e+00 1.840484e+06 1.464607e+02 -6.923914e-03 4.613400e-04
3.083199e+01 8.912509e+00 -8.413368e-02 1.003152e+00 1.879748e+06 1.495864e+02 1.049745e-02 4.580021e-04
3.162289e+01 8.912509e+00 -7.926039e-02 1.002004e+00 1.898232e+06 1.510563e+02 -7.919550e-03 4.597902e-04
3.243408e+01 8.912509e+00 -7.969279e-02 1.005188e+00 1.958672e+06 1.558667e+02 -1.766473e-02 4.507303e-04
3.326608e+01 8.912509e+00 -6.922598e-02 9.970325e-01 1.996357e+06 1.588654e+02 1.525807e-02 4.624128e-04
3.411942e+01 8.912509e+00 -5.839979e-02 9.961628e-01 2.034935e+06 1.619355e+02 -4.192173e-03 4.929304e-04
3.499465e+01 8.912509e+00 -5.386377e-02 1.022907e+00 2.118294e+06 1.685686e+02 6.229162e-03 4.543066e-04
3.589234e+01 8.912509e+00 -4.779411e-02 1.003382e+00 2.136372e+06 1.700076e+02 4.150867e-03 4.667044e-04
3.681305e+01 8.912509e+00 -4.224258e-02 9.887998e-01 2.131513e+06 1.696203e+02 -1.079804e-02 4.494190e-04
3.775738e+01 8.912509e+00 -3.077969e-02 9.984340e-01 2.206660e+06 1.756004e+02 -2.271146e-02 4.566908e-04
3.872593e+01 8.912509e+00 -2.177813e-02 9.756662e-01 2.173756e+06 1.729816e+02 -4.310250e-03 4.516840e-04
3.971933e+01 8.912509e+00 -1.324653e-02 9.656178e-01 2.193258e+06 1.745341e+02 -1.406920e-02 4.601479e-04
4.073821e+01 8.912509e+00 -1.961216e-03 9.873157e-01 2.311267e+06 1.839249e+02 1.048529e-02 4.670620e-04
4.178323e+01 8.912509e+00 4.307230e-03 9.876738e-01 2.374836e+06 1.889836e+02 1.732862e-02 4.652739e-04
4.285505e+01 8.912509e+00 1.036333e-02 9.846789e-01 2.400983e+06 1.910629e+02 -3.613889e-03 4.690886e-04
4.395437e+01 8.912509e+00 2.127002e-02 9.680221e-01 2.460658e+06 1.958137e+02 -8.282721e-03 4.718304e-04
4.508189e+01 8.912509e+00 3.771809e-02 9.724038e-01 2.463974e+06 1.960767e+02 1.477647e-02 4.611015e-04
4.623833e+01 8.912509e+00 4.612732e-02 9.769028e-01 2.614562e+06 2.080603e+02 2.792394e-02 4.494190e-04
4.742443e+01 8.912509e+00 5.560700e-02 9.779175e-01 2.665645e+06 2.121256e+02 4.648316e-02 4.699230e-04
4.864096e+01 8.912509e+00 6.891433e-02 9.583067e-01 2.691250e+06 2.141626e+02 2.259529e-02 4.746914e-04
4.988870e+01 8.912509e+00 8.081799e-02 9.620915e-01 2.767606e+06 2.202394e+02 2.358592e-02 4.447699e-04
5.116845e+01 8.912509e+00 9.046064e-02 9.882230e-01 2.839299e+06 2.259429e+02 8.676052e-03 4.557371e-04
5.248102e+01 8.912509e+00 1.053400e-01 9.887181e-01 3.020201e+06 2.403400e+02 9.288788e-03 4.539490e-04
5.382727e+01 8.912509e+00 1.172802e-01 9.930632e-01 3.039200e+06 2.418537e+02 1.764369e-02 4.702806e-04
5.520805e+01 8.912509e+00 1.315078e-01 9.852101e-01 3.111161e+06 2.475779e+02 -1.411796e-03 4.738569e-04
5.662424e+01 8.912509e+00 1.363428e-01 9.796209e-01 3.158589e+06 2.513524e+02 5.525708e-03 4.487038e-04
