#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_s:0.95:2.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
2.716435e-01 8.912509e+00 1.032553e+00 1.008192e+00 4.458402e+04 3.493451e+00 1.021647e-02 1.623154e-03
2.786117e-01 8.912509e+00 1.039048e+00 9.987431e-01 4.483330e+04 3.541516e+00 -2.124876e-02 1.608014e-03
2.857586e-01 8.912509e+00 1.044721e+00 9.809908e-01 4.397402e+04 3.478172e+00 -2.117568e-02 1.557231e-03
2.930888e-01 8.912509e+00 1.051012e+00 9.902299e-01 4.494844e+04 3.530056e+00 -1.961917e-02 1.543522e-03
3.006071e-01 8.912509e+00 1.056782e+00 1.000228e+00 4.642852e+04 3.681890e+00 -4.760790e-02 1.550317e-03
3.083182e-01 8.912509e+00 1.062088e+00 9.890739e-01 4.625483e+04 3.673296e+00 -3.266817e-02 1.502991e-03
3.162272e-01 8.912509e+00 1.067647e+00 1.010211e+00 4.869707e+04 3.876059e+00 -2.227807e-02 1.540184e-03
3.243390e-01 8.912509e+00 1.072655e+00 9.926862e-01 4.868975e+04 3.875741e+00 -4.121429e-02 1.515746e-03
3.326589e-01 8.912509e+00 1.077212e+00 1.017085e+00 4.990854e+04 3.968051e+00 -1.203150e-02 1.506567e-03
3.411923e-01 8.912509e+00 1.082214e+00 9.986203e-01 5.049799e+04 4.011978e+00 -4.614198e-02 1.489282e-03
3.499445e-01 8.912509e+00 1.085963e+00 9.904587e-01 4.998359e+04 4.007203e+00 -1.134121e-02 1.450539e-03
3.589213e-01 8.912509e+00 1.090856e+00 9.938201e-01 5.166815e+04 4.116383e+00 -2.215457e-02 1.460314e-03
3.681283e-01 8.912509e+00 1.094710e+00 1.001966e+00 5.263774e+04 4.202645e+00 1.105547e-03 1.489043e-03
3.775715e-01 8.912509e+00 1.098729e+00 1.022967e+00 5.447251e+04 4.375806e+00 -1.608193e-03 1.459718e-03
3.872570e-01 8.912509e+00 1.102425e+00 1.011988e+00 5.550890e+04 4.412412e+00 6.804943e-03 1.459718e-03
3.971908e-01 8.912509e+00 1.106148e+00 9.953138e-01 5.432246e+04 4.347795e+00 4.260659e-03 1.394749e-03
4.073796e-01 8.912509e+00 1.109264e+00 1.013612e+00 5.748873e+04 4.587800e+00 6.235123e-03 1.413703e-03
4.178296e-01 8.912509e+00 1.112379e+00 1.007702e+00 5.708502e+04 4.590028e+00 1.455677e-02 1.377940e-03
4.285478e-01 8.912509e+00 1.115705e+00 9.997920e-01 5.616018e+04 4.521274e+00 1.632094e-03 1.379371e-03
4.395409e-01 8.912509e+00 1.117923e+00 1.009431e+00 5.813649e+04 4.637775e+00 -7.114291e-03 1.357913e-03
4.508159e-01 8.912509e+00 1.120138e+00 1.023249e+00 5.984755e+04 4.795020e+00 2.110744e-02 1.365542e-03
4.623803e-01 8.912509e+00 1.121914e+00 1.022713e+00 6.096784e+04 4.876826e+00 -7.244349e-04 1.337528e-03
4.742412e-01 8.912509e+00 1.124474e+00 1.016424e+00 6.090082e+04 4.898471e+00 3.728080e-02 1.317024e-03
4.864064e-01 8.912509e+00 1.125602e+00 1.010242e+00 6.145173e+04 4.920753e+00 -7.838547e-03 1.324177e-03
4.988837e-01 8.912509e+00 1.128057e+00 9.986489e-01 6.235911e+04 5.013062e+00 8.361220e-03 1.277804e-03
5.116810e-01 8.912509e+00 1.129629e+00 1.014399e+00 6.271952e+04 5.031524e+00 -7.127762e-03 1.274586e-03
5.248066e-01 8.912509e+00 1.131273e+00 1.007529e+00 6.416576e+04 5.124789e+00 2.114654e-02 1.263499e-03
5.382689e-01 8.912509e+00 1.132479e+00 1.015460e+00 6.574980e+04 5.278851e+00 -1.055211e-02 1.245141e-03
5.520766e-01 8.912509e+00 1.133146e+00 1.033107e+00 6.803201e+04 5.443736e+00 2.203989e-02 1.244545e-03
5.662384e-01 8.912509e+00 1.134853e+00 1.032056e+00 6.883870e+04 5.505806e+00 1.060951e-02 1.214504e-03
5.807635e-01 8.912509e+00 1.135330e+00 1.008144e+00 6.881855e+04 5.519175e+00 -4.250407e-03 1.206040e-03
5.956612e-01 8.912509e+00 1.136352e+00 1.006074e+00 6.872632e+04 5.486071e+00 1.951122e-02 1.204848e-03
6.109411e-01 8.912509e+00 1.137023e+00 1.023603e+00 7.140488e+04 5.707296e+00 -5.370140e-03 1.168370e-03
6.266128e-01 8.912509e+00 1.136754e+00 1.010512e+00 7.025922e+04 5.626445e+00 2.130246e-02 1.126766e-03
6.426867e-01 8.912509e+00 1.137122e+00 9.938620e-01 7.174658e+04 5.743265e+00 -2.617180e-03 1.133323e-03
6.591728e-01 8.912509e+00 1.137205e+00 1.004798e+00 7.354680e+04 5.858175e+00 -1.931489e-03 1.143694e-03
6.760818e-01 8.912509e+00 1.136706e+00 1.003743e+00 7.498822e+04 5.985817e+00 4.694462e-04 1.108646e-03
