#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=s:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_s:-0.05:1.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912511e+01 8.912509e-01 -2.481635e+00 1.026057e+00 3.983376e+05 3.174568e+01 2.181482e-02 5.035400e-04
9.141134e+01 8.912509e-01 -2.472553e+00 1.005234e+00 4.037735e+05 3.212128e+01 -1.180899e-02 5.017519e-04
9.375623e+01 8.912509e-01 -2.461192e+00 1.017376e+00 4.237594e+05 3.381852e+01 5.575776e-03 5.123615e-04
9.616126e+01 8.912509e-01 -2.446730e+00 9.889469e-01 4.269135e+05 3.396621e+01 -2.779263e-02 4.866123e-04
9.862799e+01 8.912509e-01 -2.428500e+00 1.008359e+00 4.608259e+05 3.657890e+01 8.157849e-03 4.880428e-04
1.011580e+02 8.912509e-01 -2.407887e+00 1.007920e+00 4.749080e+05 3.768280e+01 -3.722084e-02 5.171299e-04
1.037528e+02 8.912509e-01 -2.386191e+00 9.720181e-01 4.777885e+05 3.798583e+01 -3.417462e-02 5.043745e-04
1.064143e+02 8.912509e-01 -2.364704e+00 1.002947e+00 4.963110e+05 3.954427e+01 -2.834439e-02 4.925728e-04
1.091440e+02 8.912509e-01 -2.337636e+00 1.012422e+00 5.070399e+05 4.024201e+01 2.660716e-02 5.017519e-04
1.119437e+02 8.912509e-01 -2.306476e+00 9.878426e-01 5.242079e+05 4.160056e+01 -1.175261e-02 4.937649e-04
1.148153e+02 8.912509e-01 -2.279176e+00 9.746709e-01 5.186408e+05 4.122113e+01 -6.014705e-03 4.886389e-04
1.177605e+02 8.912509e-01 -2.244557e+00 9.971141e-01 5.669604e+05 4.512743e+01 7.857084e-04 4.940033e-04
1.207813e+02 8.912509e-01 -2.214589e+00 1.024521e+00 5.991504e+05 4.763698e+01 -3.534091e-02 4.987717e-04
1.238795e+02 8.912509e-01 -2.176922e+00 1.013502e+00 6.013502e+05 4.779996e+01 3.272831e-02 4.833937e-04
1.270572e+02 8.912509e-01 -2.140262e+00 1.027925e+00 6.546921e+05 5.210478e+01 1.314831e-02 4.931688e-04
1.303165e+02 8.912509e-01 -2.100657e+00 1.036857e+00 6.678176e+05 5.317048e+01 1.193166e-03 5.042553e-04
1.336593e+02 8.912509e-01 -2.055554e+00 1.006209e+00 6.943948e+05 5.519366e+01 6.799471e-02 4.733801e-04
1.370879e+02 8.912509e-01 -2.017318e+00 9.946730e-01 6.807978e+05 5.403883e+01 -2.545655e-03 4.786253e-04
1.406044e+02 8.912509e-01 -1.976443e+00 9.925314e-01 6.958975e+05 5.546358e+01 1.539683e-02 4.649162e-04
1.442112e+02 8.912509e-01 -1.931631e+00 9.920551e-01 7.034361e+05 5.607219e+01 -1.498669e-02 4.583597e-04
1.479105e+02 8.912509e-01 -1.883434e+00 9.808104e-01 7.251228e+05 5.763955e+01 -4.227835e-02 4.639626e-04
1.517046e+02 8.912509e-01 -1.845259e+00 1.017742e+00 7.957094e+05 6.335894e+01 -2.835518e-02 4.835129e-04
1.555961e+02 8.912509e-01 -1.794384e+00 9.975446e-01 8.147432e+05 6.489192e+01 3.821111e-02 4.642010e-04
1.595874e+02 8.912509e-01 -1.758181e+00 9.860094e-01 8.314666e+05 6.613270e+01 3.246617e-02 4.597902e-04
1.636811e+02 8.912509e-01 -1.700355e+00 9.906374e-01 8.369796e+05 6.667892e+01 -6.471634e-03 4.798174e-04
1.678798e+02 8.912509e-01 -1.654133e+00 9.839543e-01 8.506567e+05 6.768796e+01 3.509760e-03 4.726648e-04
1.721862e+02 8.912509e-01 -1.608039e+00 1.017316e+00 9.306996e+05 7.410126e+01 1.881444e-02 4.426241e-04
1.766031e+02 8.912509e-01 -1.555968e+00 9.853528e-01 9.130800e+05 7.261157e+01 5.070400e-02 4.750490e-04
1.811333e+02 8.912509e-01 -1.507780e+00 9.974971e-01 9.717926e+05 7.734930e+01 5.226576e-02 4.771948e-04
1.857796e+02 8.912509e-01 -1.456814e+00 1.003758e+00 9.826099e+05 7.815462e+01 -2.323484e-02 4.600286e-04
1.905452e+02 8.912509e-01 -1.399701e+00 1.003438e+00 9.925305e+05 7.899178e+01 -3.118008e-02 4.591942e-04
1.954330e+02 8.912509e-01 -1.354024e+00 9.939925e-01 1.015149e+06 8.076604e+01 -1.731545e-02 4.904270e-04
2.004462e+02 8.912509e-01 -1.303762e+00 9.443227e-01 9.634818e+05 7.671077e+01 -2.011669e-02 4.633665e-04
2.055880e+02 8.912509e-01 -1.258200e+00 9.825032e-01 1.033466e+06 8.221880e+01 3.245151e-02 4.723072e-04
2.108617e+02 8.912509e-01 -1.198661e+00 9.939651e-01 1.111684e+06 8.843381e+01 -2.688617e-02 4.408360e-04
2.162707e+02 8.912509e-01 -1.155072e+00 9.894477e-01 1.100266e+06 8.753840e+01 -9.940445e-03 4.330873e-04
2.218184e+02 8.912509e-01 -1.110813e+00 9.607000e-01 1.134179e+06 9.025262e+01 1.953673e-02 4.442930e-04
2.275084e+02 8.912509e-01 -1.056021e+00 1.018841e+00 1.244206e+06 9.903607e+01 1.110888e-02 4.723072e-04
2.333444e+02 8.912509e-01 -1.003936e+00 9.760855e-01 1.210003e+06 9.629319e+01 7.205153e-02 4.484653e-04
2.393301e+02 8.912509e-01 -9.558270e-01 1.011700e+00 1.270010e+06 1.010570e+02 4.614866e-02 4.514456e-04
2.454693e+02 8.912509e-01 -9.062405e-01 9.758670e-01 1.275660e+06 1.015507e+02 1.890063e-02 4.621744e-04
2.517661e+02 8.912509e-01 -8.554859e-01 9.995917e-01 1.375493e+06 1.094580e+02 1.290905e-02 4.618168e-04
2.582243e+02 8.912509e-01 -8.113222e-01 9.942060e-01 1.450560e+06 1.154336e+02 2.098536e-02 4.678965e-04
2.648482e+02 8.912509e-01 -7.611653e-01 1.023077e+00 1.559000e+06 1.240775e+02 -3.376526e-02 4.427433e-04
2.716420e+02 8.912509e-01 -7.218114e-01 1.018542e+00 1.573370e+06 1.252000e+02 -1.679051e-02 4.593134e-04
2.786101e+02 8.912509e-01 -6.578444e-01 1.040093e+00 1.698097e+06 1.351284e+02 -1.757014e-02 4.718304e-04
2.857569e+02 8.912509e-01 -6.158854e-01 1.000499e+00 1.564703e+06 1.245091e+02 -5.688179e-02 4.425049e-04
2.930871e+02 8.912509e-01 -5.601649e-01 9.851284e-01 1.599463e+06 1.272800e+02 -3.644902e-02 4.609823e-04
3.006053e+02 8.912509e-01 -5.248784e-01 9.795444e-01 1.620441e+06 1.289472e+02 1.790500e-02 4.514456e-04
3.083163e+02 8.912509e-01 -4.808275e-01 1.015506e+00 1.738225e+06 1.383255e+02 -2.546257e-02 4.665852e-04
3.162252e+02 8.912509e-01 -4.282026e-01 9.994272e-01 1.814854e+06 1.444241e+02 -3.211409e-02 4.284382e-04
3.243369e+02 8.912509e-01 -3.790959e-01 9.656835e-01 1.730067e+06 1.376768e+02 -2.974105e-02 4.535913e-04
3.326567e+02 8.912509e-01 -3.421774e-01 1.006341e+00 1.869493e+06 1.487721e+02 4.898679e-02 4.390478e-04
3.411899e+02 8.912509e-01 -2.905183e-01 1.000756e+00 1.935872e+06 1.540514e+02 8.302450e-03 4.355907e-04
3.499420e+02 8.912509e-01 -2.521994e-01 9.829434e-01 1.913563e+06 1.522757e+02 4.158819e-02 4.434586e-04
3.589186e+02 8.912509e-01 -2.091108e-01 1.015788e+00 2.105415e+06 1.675428e+02 6.411433e-03 4.698038e-04
3.681255e+02 8.912509e-01 -1.774700e-01 1.031998e+00 2.203922e+06 1.753820e+02 -2.504474e-02 4.594326e-04
3.775686e+02 8.912509e-01 -1.497533e-01 1.014675e+00 2.201104e+06 1.751602e+02 -4.968965e-02 4.242659e-04
3.872539e+02 8.912509e-01 -1.004990e-01 9.988195e-01 2.107436e+06 1.677043e+02 -3.014731e-02 4.526377e-04
3.971876e+02 8.912509e-01 -5.614760e-02 9.819106e-01 2.161178e+06 1.719806e+02 1.925492e-02 4.556179e-04
4.073762e+02 8.912509e-01 -1.959630e-02 9.958135e-01 2.393117e+06 1.904384e+02 -3.088731e-02 4.360676e-04
4.178260e+02 8.912509e-01 2.844613e-02 1.018260e+00 2.534359e+06 2.016785e+02 -6.360775e-02 4.398823e-04
4.285440e+02 8.912509e-01 5.251867e-02 1.044300e+00 2.725558e+06 2.168935e+02 -5.161238e-02 4.690886e-04
4.395369e+02 8.912509e-01 1.109269e-01 1.013479e+00 2.538698e+06 2.020230e+02 -8.473098e-02 4.565716e-04
