#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=s:-1.05:0.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_s:-1.05:0.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
2.648482e+02 8.912510e-02 -1.848391e-01 1.017362e+00 9.732842e+03 7.751243e-01 -1.597643e-02 2.403736e-03
2.716420e+02 8.912510e-02 -1.992523e-01 1.010900e+00 1.108743e+04 8.830811e-01 -4.316992e-02 2.364874e-03
2.786101e+02 8.912510e-02 -2.152664e-01 1.016957e+00 1.203234e+04 9.570782e-01 -5.494726e-02 2.242327e-03
2.857569e+02 8.912510e-02 -2.301747e-01 1.015309e+00 1.392976e+04 1.108076e+00 -3.897524e-02 2.278447e-03
2.930871e+02 8.912510e-02 -2.476663e-01 9.741662e-01 1.363495e+04 1.086014e+00 1.240599e-02 1.883864e-03
3.006053e+02 8.912510e-02 -2.639967e-01 1.023187e+00 1.614817e+04 1.284838e+00 -7.523453e-02 1.972914e-03
3.083163e+02 8.912510e-02 -2.832029e-01 9.923381e-01 1.693513e+04 1.345755e+00 -2.999246e-03 1.948953e-03
3.162252e+02 8.912510e-02 -3.018290e-01 1.024894e+00 2.026232e+04 1.613990e+00 -2.590364e-02 1.860142e-03
3.243369e+02 8.912510e-02 -3.178215e-01 9.628047e-01 1.969152e+04 1.565766e+00 -3.402150e-02 1.731873e-03
3.326567e+02 8.912510e-02 -3.387956e-01 9.880196e-01 2.288012e+04 1.818385e+00 5.987740e-02 1.715302e-03
3.411899e+02 8.912510e-02 -3.586566e-01 1.008370e+00 2.477879e+04 1.972686e+00 -2.037889e-02 1.618862e-03
3.499420e+02 8.912510e-02 -3.786298e-01 9.781626e-01 2.649521e+04 2.109082e+00 -2.700216e-02 1.458049e-03
3.589186e+02 8.912510e-02 -3.993137e-01 1.002202e+00 3.119857e+04 2.483931e+00 2.678704e-02 1.377463e-03
3.681255e+02 8.912510e-02 -4.178526e-01 9.828607e-01 3.288230e+04 2.618139e+00 -5.661786e-03 1.288891e-03
3.775686e+02 8.912510e-02 -4.381983e-01 9.577335e-01 3.416562e+04 2.717451e+00 -4.100859e-03 1.178145e-03
3.872539e+02 8.912510e-02 -4.592057e-01 9.803484e-01 3.677395e+04 2.928928e+00 7.892942e-02 1.129270e-03
3.971876e+02 8.912510e-02 -4.827700e-01 9.848244e-01 4.002587e+04 3.187714e+00 -1.321286e-02 1.068592e-03
4.073762e+02 8.912510e-02 -4.994870e-01 9.727908e-01 4.602589e+04 3.667168e+00 1.762009e-02 1.038432e-03
4.178260e+02 8.912510e-02 -5.178487e-01 9.614558e-01 4.883448e+04 3.880277e+00 5.140305e-03 1.065493e-03
4.285440e+02 8.912510e-02 -5.410049e-01 9.643782e-01 5.249050e+04 4.176783e+00 -8.071297e-02 9.531975e-04
