#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-0.05:1.05:100:1 --domainy=s:-1.05:0.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:-0.05:1.05:100:1_s:-1.05:0.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912509e-01 8.912510e-02 6.371282e-04 6.137565e-01 3.307980e+01 2.632330e-03 2.878954e-01 2.484262e-02
9.141132e-01 8.912510e-02 5.286838e-04 5.800561e-01 2.854930e+01 2.271852e-03 2.997340e-01 2.339590e-02
9.375620e-01 8.912510e-02 4.468491e-04 5.291156e-01 2.488188e+01 1.980065e-03 3.216519e-01 2.195263e-02
9.616123e-01 8.912510e-02 3.552298e-04 4.787557e-01 2.172299e+01 1.728648e-03 3.846393e-01 2.008450e-02
9.862795e-01 8.912510e-02 3.023893e-04 4.438330e-01 1.988912e+01 1.582735e-03 4.428412e-01 1.984680e-02
1.011579e+00 8.912510e-02 2.447191e-04 3.984797e-01 1.713693e+01 1.363734e-03 4.113991e-01 1.900971e-02
1.037528e+00 8.912510e-02 1.936617e-04 3.462222e-01 1.512144e+01 1.203321e-03 4.280337e-01 1.778126e-02
1.064143e+00 8.912510e-02 1.618713e-04 2.898664e-01 1.373847e+01 1.093274e-03 3.390374e-01 1.637316e-02
1.091440e+00 8.912510e-02 1.315331e-04 2.648207e-01 1.261952e+01 1.004221e-03 2.357579e-01 1.549709e-02
1.119438e+00 8.912510e-02 9.899491e-05 2.138460e-01 1.141792e+01 9.086074e-04 2.489191e-01 1.460493e-02
1.148154e+00 8.912510e-02 8.590650e-05 1.948028e-01 1.082803e+01 8.616532e-04 2.607689e-01 1.451695e-02
1.177606e+00 8.912510e-02 6.721682e-05 1.518282e-01 1.004567e+01 7.994067e-04 1.755273e-01 1.334572e-02
1.207814e+00 8.912510e-02 5.282430e-05 1.294249e-01 9.599388e+00 7.638939e-04 2.954605e-01 1.283967e-02
1.238797e+00 8.912510e-02 3.893988e-05 1.063004e-01 9.194504e+00 7.316677e-04 9.655523e-02 1.237881e-02
