#./munderdamped_3d --dev=2 --amp=120 --omega=1 --mass=0.017 --force=0 --Dg=0.01 --block=256 --paths=4096 --periods=1000 --trans=100 --samples=100 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=20.0 --zeta=0.05 --comp=0 --mean=1.0 --second=13.0 --skew=0.99 --distribution=s>> 1D_a:-1:3:300:1_13.0_20.0_0.99_1.0_0.017.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
2.928641e-01 1.005416e+00 7.713592e+03 1.017998e+00 1.817793e+06 1.446556e+02 -1.364201e-02 5.969059e+00 3.457069e-05 5.056548e-02
3.019949e-01 1.008684e+00 7.714850e+03 1.015937e+00 1.779792e+06 1.416371e+02 -2.252144e-02 3.637818e+00 3.671646e-05 4.983199e-02
3.114102e-01 1.013030e+00 7.714245e+03 1.018304e+00 1.835886e+06 1.460921e+02 6.618977e-03 3.156404e+00 3.468990e-05 5.039740e-02
3.211191e-01 1.007812e+00 7.714183e+03 1.036215e+00 1.816420e+06 1.445458e+02 2.698660e-02 2.956525e+00 3.850460e-05 5.040264e-02
3.311307e-01 1.009289e+00 7.713632e+03 1.014075e+00 1.797893e+06 1.430854e+02 -8.319736e-03 3.062131e+00 3.921986e-05 4.967296e-02
3.414545e-01 1.010933e+00 7.714862e+03 1.004110e+00 1.762712e+06 1.402668e+02 1.034808e-02 3.369767e+00 3.647804e-05 4.922974e-02
3.521001e-01 1.011057e+00 7.714022e+03 1.016829e+00 1.836960e+06 1.461787e+02 2.610326e-03 3.959793e+00 4.029274e-05 5.089808e-02
3.630776e-01 1.009836e+00 7.714121e+03 1.006142e+00 1.781854e+06 1.417857e+02 -2.702653e-03 4.957075e+00 4.041195e-05 4.980326e-02
3.743974e-01 1.013385e+00 7.715045e+03 9.957744e-01 1.767156e+06 1.406401e+02 -2.545977e-02 3.396448e+00 3.874302e-05 4.831052e-02
3.860700e-01 1.007494e+00 7.713430e+03 9.918503e-01 1.718383e+06 1.367485e+02 -1.529938e-02 2.709097e+00 3.933907e-05 4.781663e-02
3.981066e-01 1.016391e+00 7.714874e+03 1.032543e+00 1.811660e+06 1.441686e+02 4.305935e-02 3.350129e+00 4.136562e-05 4.980385e-02
4.105185e-01 1.006547e+00 7.714515e+03 1.020760e+00 1.759672e+06 1.400341e+02 -1.751870e-02 4.962827e+00 3.695488e-05 4.918110e-02
4.233173e-01 1.008992e+00 7.713666e+03 9.992775e-01 1.816220e+06 1.445305e+02 -1.381677e-02 4.684277e+00 3.969669e-05 5.007565e-02
4.365152e-01 1.014641e+00 7.716172e+03 1.019423e+00 1.768159e+06 1.407089e+02 -1.262128e-02 5.218711e+00 3.612041e-05 4.857576e-02
4.501246e-01 1.009339e+00 7.714756e+03 9.732229e-01 1.780610e+06 1.416931e+02 2.798486e-02 3.563111e+00 3.933907e-05 4.900193e-02
4.641582e-01 1.008666e+00 7.714553e+03 9.991290e-01 1.744841e+06 1.388551e+02 2.329588e-02 4.003326e+00 4.160404e-05 4.883254e-02
4.786294e-01 1.015409e+00 7.715824e+03 1.025875e+00 1.838716e+06 1.463255e+02 1.576066e-03 3.301996e+00 3.814697e-05 5.018914e-02
4.935517e-01 1.009318e+00 7.714537e+03 1.020909e+00 1.837220e+06 1.462029e+02 -3.807008e-02 3.198670e+00 3.957748e-05 5.029333e-02
