#./overdamped_3d --dev=2 --amp=120 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=4096 --periods=1000 --trans=100 --samples=100 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=20.0 --zeta=0.05 --comp=0 --mean=1.0 --second=13.0 --skew=0.99 --distribution=s>> 1D_a:-1:3:300:1_13.0_20.0_0.99_1.0_over.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
4.786294e-01 1.002537e+00 1.009298e+00 1.805338e+06 1.436724e+02 9.340882e-03 5.435944e-05
4.935517e-01 1.004275e+00 9.942279e-01 1.771630e+06 1.409715e+02 1.421690e-03 5.614758e-05
5.089393e-01 1.007312e+00 1.016143e+00 1.790227e+06 1.424564e+02 6.596208e-03 5.412102e-05
5.248066e-01 1.006084e+00 1.043829e+00 1.871827e+06 1.489461e+02 -1.531583e-02 5.543232e-05
5.411686e-01 1.003998e+00 9.987406e-01 1.762340e+06 1.402381e+02 -7.474124e-03 5.483627e-05
5.580408e-01 1.012717e+00 1.041057e+00 1.876866e+06 1.493564e+02 -9.131610e-03 5.364418e-05
5.754390e-01 1.009459e+00 9.981658e-01 1.787222e+06 1.422234e+02 -3.039837e-06 5.340576e-05
5.933796e-01 1.007983e+00 1.025058e+00 1.748978e+06 1.391826e+02 -3.059864e-03 5.626678e-05
6.118796e-01 1.013876e+00 1.015327e+00 1.757227e+06 1.398316e+02 3.550422e-02 5.733967e-05
6.309564e-01 1.008419e+00 1.011586e+00 1.825305e+06 1.452642e+02 1.414967e-02 5.459785e-05
6.506279e-01 1.005166e+00 1.011322e+00 1.796817e+06 1.429848e+02 1.935983e-02 5.030632e-05
6.709126e-01 1.013696e+00 1.025656e+00 1.800927e+06 1.433228e+02 2.180851e-02 5.292892e-05
6.918299e-01 1.007291e+00 1.023354e+00 1.807883e+06 1.438662e+02 -9.330332e-03 5.555153e-05
7.133992e-01 1.011799e+00 1.025764e+00 1.759463e+06 1.400108e+02 2.986729e-02 5.626678e-05
7.356411e-01 1.009145e+00 1.025437e+00 1.789312e+06 1.423838e+02 -3.680706e-03 5.054474e-05
7.585764e-01 1.017126e+00 9.967816e-01 1.779606e+06 1.416183e+02 -1.584905e-02 5.638599e-05
7.822267e-01 1.008960e+00 9.884193e-01 1.728054e+06 1.375156e+02 8.641005e-03 5.388260e-05
8.066144e-01 1.011933e+00 9.998177e-01 1.725623e+06 1.373227e+02 2.412713e-02 5.066395e-05
8.317624e-01 1.011602e+00 1.013555e+00 1.794198e+06 1.427712e+02 3.099489e-02 5.102158e-05
8.576946e-01 1.009458e+00 1.018360e+00 1.819060e+06 1.447549e+02 -2.670419e-02 5.328655e-05
8.844351e-01 1.008704e+00 1.032292e+00 1.833544e+06 1.459164e+02 -4.340917e-02 5.531311e-05
9.120094e-01 1.009679e+00 1.029801e+00 1.841463e+06 1.465451e+02 -7.429540e-03 5.769730e-05
9.404434e-01 1.012989e+00 1.039891e+00 1.823185e+06 1.450666e+02 3.847837e-03 5.805492e-05
9.697639e-01 1.009860e+00 1.059693e+00 1.917452e+06 1.525809e+02 -2.534437e-02 5.018711e-05
9.999985e-01 1.010378e+00 1.017107e+00 1.821149e+06 1.449230e+02 -6.265402e-02 5.424023e-05
1.031176e+00 1.013549e+00 1.051264e+00 1.872584e+06 1.490193e+02 1.127005e-03 5.078316e-05
1.063325e+00 1.008041e+00 1.016093e+00 1.847752e+06 1.470222e+02 -9.679496e-03 5.400181e-05
1.096476e+00 1.020009e+00 1.006923e+00 1.820433e+06 1.448549e+02 -3.560781e-04 5.722046e-05
1.130662e+00 1.013138e+00 1.011501e+00 1.806580e+06 1.437653e+02 5.686510e-02 5.054474e-05
1.165913e+00 1.006204e+00 1.015553e+00 1.780404e+06 1.416874e+02 -6.165326e-03 5.376339e-05
1.202263e+00 1.004928e+00 1.034418e+00 1.843021e+06 1.466552e+02 1.185775e-03 5.185604e-05
1.239746e+00 1.006110e+00 1.040973e+00 1.791497e+06 1.425723e+02 -2.867579e-04 5.030632e-05
1.278398e+00 1.012388e+00 9.963328e-01 1.795205e+06 1.428632e+02 -2.594054e-03 5.495548e-05
1.318255e+00 1.003896e+00 1.051238e+00 1.848512e+06 1.471091e+02 3.441572e-03 5.543232e-05
1.359354e+00 1.007206e+00 1.027902e+00 1.784471e+06 1.420070e+02 1.209486e-02 5.602837e-05
1.401735e+00 1.009087e+00 9.866049e-01 1.710758e+06 1.361450e+02 6.381631e-03 4.923344e-05
1.445438e+00 1.006897e+00 1.056093e+00 1.826250e+06 1.453355e+02 -5.922914e-03 5.400181e-05
1.490502e+00 1.000579e+00 1.030608e+00 1.809275e+06 1.439875e+02 -4.010940e-02 5.555153e-05
1.536972e+00 1.008299e+00 1.022977e+00 1.795713e+06 1.429030e+02 -2.103657e-02 5.710125e-05
1.584891e+00 1.001280e+00 1.022076e+00 1.759247e+06 1.400010e+02 -1.218516e-02 5.340576e-05
1.634303e+00 1.006124e+00 1.008707e+00 1.737936e+06 1.383044e+02 -3.842676e-02 5.614758e-05
1.685256e+00 1.015112e+00 9.894865e-01 1.694111e+06 1.347979e+02 -2.963984e-02 5.388260e-05
1.737798e+00 1.008174e+00 1.015552e+00 1.750108e+06 1.392558e+02 2.670419e-02 5.567074e-05
