#./munderdamped_3d --dev=2 --amp=120 --omega=1 --mass=0.01 --force=0 --Dg=0.01 --block=256 --paths=4096 --periods=1000 --trans=100 --samples=100 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=20.0 --zeta=0.05 --comp=0 --mean=1.0 --second=13.0 --skew=0.99 --distribution=s>> 1D_a:-1:3:300:1_13.0_20.0_0.99_1.0_0.01.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 1.008740e+00 1.331801e+04 9.986233e-01 1.751117e+06 1.393532e+02 2.300739e-05 8.201005e+00 3.421307e-05 4.847777e-02
1.031177e-01 1.007729e+00 1.331808e+04 1.010576e+00 1.766109e+06 1.405520e+02 3.039074e-02 4.721586e+00 3.397465e-05 4.913926e-02
1.063327e-01 9.998330e-01 1.331558e+04 1.002393e+00 1.744613e+06 1.388353e+02 1.771331e-03 7.294833e+00 3.564358e-05 4.967940e-02
1.096478e-01 1.009484e+00 1.331986e+04 1.013319e+00 1.752987e+06 1.394987e+02 -1.988596e-02 6.958704e+00 3.504753e-05 4.854798e-02
1.130663e-01 1.009227e+00 1.331992e+04 1.008937e+00 1.763777e+06 1.403597e+02 1.893127e-02 1.005660e+01 3.230572e-05 4.836130e-02
1.165914e-01 1.009672e+00 1.331923e+04 1.017340e+00 1.765226e+06 1.404756e+02 5.070627e-02 5.678947e+00 3.552437e-05 4.866123e-02
1.202264e-01 1.013770e+00 1.332000e+04 1.010103e+00 1.860347e+06 1.480440e+02 3.239989e-03 5.239678e+00 3.468990e-05 5.130053e-02
1.239747e-01 1.010593e+00 1.331948e+04 9.973128e-01 1.747880e+06 1.390865e+02 -6.259024e-03 5.453265e+00 3.385544e-05 4.817605e-02
1.278399e-01 1.007733e+00 1.331779e+04 1.030438e+00 1.775850e+06 1.413226e+02 -2.378905e-02 7.162462e+00 3.778934e-05 4.934907e-02
1.318256e-01 1.003912e+00 1.331778e+04 1.017126e+00 1.832379e+06 1.458308e+02 3.389931e-02 5.788055e+00 3.838539e-05 5.182981e-02
1.359356e-01 1.018558e+00 1.331791e+04 1.024373e+00 1.817072e+06 1.445974e+02 -3.628880e-02 7.288208e+00 3.695488e-05 4.957831e-02
1.401737e-01 1.007503e+00 1.331904e+04 1.025887e+00 1.832163e+06 1.457952e+02 -2.485186e-02 6.066634e+00 3.337860e-05 5.050075e-02
1.445439e-01 1.011879e+00 1.331926e+04 1.054726e+00 1.855606e+06 1.476570e+02 1.108730e-02 5.467303e+00 3.874302e-05 5.120468e-02
1.490504e-01 1.013842e+00 1.332057e+04 1.014118e+00 1.761803e+06 1.401986e+02 1.237965e-02 6.899144e+00 3.385544e-05 4.875755e-02
1.536974e-01 1.005131e+00 1.331912e+04 1.018404e+00 1.769918e+06 1.408470e+02 -1.481342e-02 6.336917e+00 3.254414e-05 4.994929e-02
1.584892e-01 1.010410e+00 1.331977e+04 1.032632e+00 1.825142e+06 1.452489e+02 -1.942116e-02 5.832117e+00 3.814697e-05 5.036891e-02
1.634305e-01 1.007120e+00 1.331816e+04 1.013734e+00 1.815092e+06 1.444474e+02 -1.280922e-02 5.879829e+00 3.790855e-05 4.990876e-02
1.685258e-01 1.010936e+00 1.331810e+04 1.016840e+00 1.805035e+06 1.436520e+02 -3.678018e-02 6.273371e+00 3.969669e-05 4.959285e-02
1.737800e-01 1.010334e+00 1.331690e+04 9.980709e-01 1.808645e+06 1.439238e+02 4.292619e-02 5.800032e+00 3.600121e-05 4.942977e-02
1.791980e-01 1.008453e+00 1.332137e+04 1.038812e+00 1.797545e+06 1.430456e+02 -1.176476e-03 6.086327e+00 3.671646e-05 5.092406e-02
1.847849e-01 1.010734e+00 1.332011e+04 1.038983e+00 1.820165e+06 1.448495e+02 5.077434e-02 9.585837e+00 3.349781e-05 4.987895e-02
1.905460e-01 1.009428e+00 1.331888e+04 9.884633e-01 1.779198e+06 1.415995e+02 1.893437e-02 7.331786e+00 3.325939e-05 4.932547e-02
1.964867e-01 1.010060e+00 1.331918e+04 1.029748e+00 1.784718e+06 1.420213e+02 4.988194e-03 6.067885e+00 3.397465e-05 4.979539e-02
2.026126e-01 1.010833e+00 1.332003e+04 1.020013e+00 1.814612e+06 1.444131e+02 -7.185459e-03 4.668042e+00 3.576279e-05 5.021524e-02
2.089295e-01 1.013581e+00 1.332018e+04 1.046265e+00 1.812334e+06 1.442138e+02 -2.406251e-02 5.441537e+00 3.278255e-05 4.912829e-02
2.154433e-01 1.004500e+00 1.331824e+04 1.014737e+00 1.818868e+06 1.447505e+02 -1.560146e-02 5.435124e+00 3.874302e-05 5.117011e-02
2.221602e-01 1.012547e+00 1.331834e+04 1.039072e+00 1.836878e+06 1.461705e+02 1.764953e-02 6.638895e+00 3.361702e-05 4.936349e-02
2.290866e-01 1.006504e+00 1.331986e+04 1.034587e+00 1.869856e+06 1.487997e+02 2.692080e-02 1.122268e+01 3.528595e-05 5.151927e-02
2.362289e-01 1.013853e+00 1.331910e+04 1.053794e+00 1.837216e+06 1.461934e+02 -1.982093e-03 6.460947e+00 3.850460e-05 5.021822e-02
2.435938e-01 1.010099e+00 1.331814e+04 1.005270e+00 1.760389e+06 1.400844e+02 -5.831242e-03 7.060418e+00 3.671646e-05 4.906166e-02
2.511884e-01 1.011886e+00 1.332025e+04 1.023074e+00 1.838858e+06 1.463261e+02 -2.256078e-02 6.121673e+00 3.695488e-05 5.012500e-02
2.590198e-01 1.010681e+00 1.331908e+04 1.015630e+00 1.824580e+06 1.451977e+02 2.068830e-02 5.188234e+00 3.731251e-05 5.054581e-02
