#./munderdamped_3d --dev=2 --amp=120 --omega=1 --mass=0.03 --force=0 --Dg=0.01 --block=256 --paths=4096 --periods=1000 --trans=100 --samples=100 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=20.0 --zeta=0.05 --comp=0 --mean=1.0 --second=13.0 --skew=0.99 --distribution=s>> 1D_a:-1:3:300:1_13.0_20.0_0.99_1.0_0.03.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 1.005128e+00 4.320634e+03 1.008766e+00 1.783285e+06 1.419223e+02 2.909553e-02 1.792538e+00 4.220009e-05 4.985797e-02
1.031177e-01 1.004956e+00 4.320207e+03 9.985198e-01 1.779034e+06 1.415670e+02 -4.413903e-03 2.286056e+00 4.541874e-05 4.970181e-02
1.063327e-01 1.010316e+00 4.320557e+03 9.977588e-01 1.782639e+06 1.418624e+02 -2.119511e-02 2.279037e+00 4.136562e-05 4.875088e-02
1.096478e-01 1.008744e+00 4.320104e+03 1.018703e+00 1.799126e+06 1.431694e+02 8.175850e-03 1.834375e+00 3.755093e-05 4.969227e-02
1.130663e-01 1.006187e+00 4.319686e+03 1.047257e+00 1.789588e+06 1.424109e+02 -5.933046e-03 2.042511e+00 4.637241e-05 5.096364e-02
1.165914e-01 1.010639e+00 4.320031e+03 1.039621e+00 1.823978e+06 1.451420e+02 1.371419e-02 1.639313e+00 4.410744e-05 5.043674e-02
1.202264e-01 1.007237e+00 4.320821e+03 9.970493e-01 1.749761e+06 1.392364e+02 -2.911389e-02 2.177837e+00 4.363060e-05 4.865396e-02
1.239747e-01 1.009632e+00 4.320124e+03 1.012005e+00 1.764992e+06 1.404479e+02 -1.691818e-02 1.997242e+00 4.208088e-05 4.855978e-02
1.278399e-01 1.007075e+00 4.319558e+03 1.022077e+00 1.773452e+06 1.411205e+02 2.167284e-02 1.696964e+00 4.327297e-05 4.943800e-02
1.318256e-01 1.010661e+00 4.320180e+03 1.031383e+00 1.822779e+06 1.450554e+02 3.519297e-03 2.007816e+00 3.790855e-05 5.146623e-02
1.359356e-01 1.009262e+00 4.319611e+03 1.031841e+00 1.810115e+06 1.440375e+02 1.565707e-02 2.006382e+00 4.339218e-05 5.008090e-02
1.401737e-01 1.007340e+00 4.320127e+03 1.019181e+00 1.784738e+06 1.420175e+02 -1.446408e-02 2.172278e+00 3.957748e-05 4.980242e-02
1.445439e-01 1.009687e+00 4.319671e+03 1.006909e+00 1.758263e+06 1.399185e+02 -3.067315e-03 2.080463e+00 3.969669e-05 4.806650e-02
1.490504e-01 1.008742e+00 4.320107e+03 1.004177e+00 1.792110e+06 1.426296e+02 -2.922297e-03 3.897391e+00 4.005432e-05 4.945672e-02
1.536974e-01 1.010369e+00 4.320115e+03 1.025321e+00 1.782086e+06 1.418316e+02 8.713126e-03 1.969933e+00 4.160404e-05 4.976821e-02
1.584892e-01 1.012407e+00 4.320022e+03 1.018815e+00 1.792553e+06 1.426563e+02 3.336024e-02 2.263569e+00 4.184246e-05 4.930699e-02
1.634305e-01 1.008161e+00 4.319919e+03 1.004502e+00 1.740614e+06 1.385052e+02 -3.749996e-02 3.820604e+00 4.267693e-05 4.897201e-02
1.685258e-01 1.017051e+00 4.320258e+03 1.022481e+00 1.806236e+06 1.437258e+02 4.729164e-02 2.176249e+00 4.076958e-05 4.849494e-02
1.737800e-01 1.010703e+00 4.320478e+03 1.018372e+00 1.761192e+06 1.401442e+02 1.137364e-02 2.498645e+00 4.255772e-05 4.875517e-02
1.791980e-01 1.010789e+00 4.320740e+03 1.032363e+00 1.810582e+06 1.440887e+02 4.474056e-02 1.714566e+00 4.279613e-05 5.013585e-02
1.847849e-01 1.005799e+00 4.319222e+03 1.008636e+00 1.754612e+06 1.396298e+02 -3.511769e-02 2.261845e+00 4.148483e-05 4.902649e-02
1.905460e-01 1.006418e+00 4.320198e+03 1.013066e+00 1.768879e+06 1.407640e+02 -1.323199e-02 2.045998e+00 4.327297e-05 4.955721e-02
1.964867e-01 1.006906e+00 4.319790e+03 1.012382e+00 1.782542e+06 1.418488e+02 -6.205440e-03 1.754754e+00 4.351139e-05 4.936743e-02
2.026126e-01 1.007179e+00 4.320413e+03 1.027691e+00 1.849765e+06 1.472050e+02 5.150437e-03 2.013190e+00 4.076958e-05 5.148530e-02
2.089295e-01 1.006199e+00 4.320092e+03 1.018610e+00 1.795194e+06 1.428562e+02 -3.290617e-02 2.183769e+00 4.184246e-05 5.015540e-02
2.154433e-01 1.007582e+00 4.320181e+03 1.022908e+00 1.782190e+06 1.418236e+02 1.954973e-02 2.298313e+00 4.029274e-05 5.036128e-02
2.221602e-01 1.008573e+00 4.319785e+03 9.842346e-01 1.721442e+06 1.369907e+02 -2.824372e-02 1.681101e+00 4.374981e-05 4.908168e-02
2.290866e-01 1.014650e+00 4.320176e+03 1.047207e+00 1.779548e+06 1.416097e+02 5.142045e-02 1.788123e+00 4.363060e-05 4.889023e-02
