#./underdamped_3d_var --dev=0 --amp=8.91 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-2:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp8.91.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
9.120089e-02 9.875016e-05 9.268895e+00 1.384662e-05 1.008184e+00 1.956612e+08 2.475666e+01 1.399934e-02 -4.820144e-01 8.463860e-06 1.418934e+03
9.772351e-02 1.230385e-04 9.404573e+00 1.383243e-05 1.013835e+00 1.941921e+08 2.457083e+01 -1.612693e-02 -4.783357e-01 1.680851e-05 9.127277e+02
1.047126e-01 1.045878e-04 9.535471e+00 1.376786e-05 1.004943e+00 1.928338e+08 2.439895e+01 1.084805e-03 -4.757002e-01 1.668930e-06 1.257648e+03
1.122016e-01 1.366963e-04 9.661164e+00 1.370937e-05 9.889905e-01 1.937444e+08 2.451410e+01 -4.419667e-02 -4.737276e-01 1.287460e-05 7.326750e+02
1.202262e-01 8.849141e-05 9.783791e+00 1.405528e-05 9.983147e-01 1.966302e+08 2.487925e+01 -1.541299e-02 -4.735360e-01 9.179115e-06 1.793888e+03
1.288246e-01 1.144942e-04 9.903272e+00 1.432096e-05 9.842234e-01 2.002951e+08 2.534310e+01 1.900589e-02 -4.639733e-01 2.622604e-06 1.091458e+03
1.380381e-01 1.609520e-04 1.002052e+01 1.506255e-05 1.011254e+00 2.105279e+08 2.663759e+01 -6.585002e-03 -4.655015e-01 1.287460e-05 5.804413e+02
1.479105e-01 1.895854e-04 1.013614e+01 1.525945e-05 9.924299e-01 2.133439e+08 2.699402e+01 -1.577920e-02 -4.624134e-01 4.768372e-06 4.235503e+02
1.584889e-01 1.889830e-04 1.025102e+01 1.590046e-05 9.985584e-01 2.215061e+08 2.802675e+01 8.654594e-05 -4.632156e-01 6.556511e-06 4.442094e+02
1.698239e-01 2.129636e-04 1.036568e+01 1.698986e-05 1.009648e+00 2.363554e+08 2.990565e+01 -1.444095e-02 -4.575788e-01 -1.609325e-06 3.736100e+02
1.819696e-01 2.034577e-04 1.048085e+01 1.726073e-05 9.907406e-01 2.407226e+08 3.045828e+01 3.011584e-03 -4.517897e-01 6.318092e-06 4.159759e+02
1.949839e-01 2.604298e-04 1.059767e+01 1.863481e-05 1.022072e+00 2.603641e+08 3.294341e+01 -2.687210e-02 -4.534967e-01 9.417534e-06 2.737538e+02
2.089290e-01 2.546510e-04 1.071682e+01 1.981493e-05 1.009116e+00 2.763131e+08 3.496136e+01 -1.362354e-02 -4.508516e-01 5.483627e-06 3.045636e+02
