#./underdamped_3d_twostate --dev=0 --amp=9.81 --omega=1.59 --force=0 --gam=0.03183 --Dg=0 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=D:-1:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 --th=0.015 >> twostate_omega1.59_amp9.81_th0.015.dat
#D p0
1.000000e-01 1.000000e+00
1.047129e-01 1.000000e+00
1.096478e-01 1.000000e+00
1.148153e-01 1.000000e+00
1.202264e-01 1.000000e+00
1.258925e-01 1.000000e+00
1.318256e-01 1.000000e+00
1.380384e-01 1.000000e+00
1.445439e-01 1.000000e+00
1.513561e-01 1.000000e+00
1.584892e-01 1.000000e+00
1.659586e-01 1.000000e+00
1.737800e-01 1.000000e+00
1.819700e-01 1.000000e+00
1.905460e-01 1.000000e+00
1.995261e-01 1.000000e+00
2.089295e-01 1.000000e+00
2.187760e-01 1.000000e+00
2.290866e-01 1.000000e+00
2.398831e-01 1.000000e+00
2.511884e-01 1.000000e+00
2.630266e-01 1.000000e+00
2.754226e-01 1.000000e+00
2.884029e-01 1.000000e+00
3.019949e-01 1.000000e+00
3.162274e-01 1.000000e+00
3.311308e-01 1.000000e+00
3.467365e-01 1.000000e+00
3.630777e-01 1.000000e+00
3.801890e-01 1.000000e+00
3.981068e-01 1.000000e+00
4.168690e-01 1.000000e+00
4.365154e-01 1.000000e+00
4.570878e-01 1.000000e+00
4.786297e-01 1.000000e+00
5.011868e-01 1.000000e+00
5.248070e-01 1.000000e+00
5.495405e-01 1.000000e+00
5.754395e-01 1.000000e+00
6.025591e-01 9.999390e-01
6.309568e-01 9.999390e-01
6.606929e-01 9.994507e-01
6.918304e-01 9.995117e-01
7.244353e-01 9.985352e-01
7.585769e-01 9.975586e-01
7.943276e-01 9.960938e-01
8.317630e-01 9.943848e-01
8.709628e-01 9.902344e-01
9.120100e-01 9.872437e-01
9.549918e-01 9.812622e-01
9.999991e-01 9.761963e-01
1.047128e+00 9.687500e-01
1.096477e+00 9.603271e-01
1.148153e+00 9.528809e-01
1.202263e+00 9.425659e-01
1.258924e+00 9.318237e-01
1.318256e+00 9.258423e-01
1.380383e+00 9.144897e-01
1.445438e+00 9.015503e-01
1.513560e+00 8.888550e-01
1.584892e+00 8.877563e-01
1.659585e+00 8.717651e-01
1.737799e+00 8.645630e-01
1.819699e+00 8.519287e-01
1.905459e+00 8.394775e-01
1.995260e+00 8.327637e-01
2.089294e+00 8.186035e-01
2.187760e+00 8.151245e-01
2.290866e+00 8.071289e-01
2.398831e+00 7.951660e-01
2.511884e+00 7.926025e-01
2.630266e+00 7.871094e-01
2.754227e+00 7.766724e-01
2.884029e+00 7.738037e-01
3.019950e+00 7.611694e-01
3.162276e+00 7.588501e-01
3.311309e+00 7.512207e-01
3.467366e+00 7.417603e-01
3.630778e+00 7.490234e-01
3.801891e+00 7.343140e-01
3.981068e+00 7.307739e-01
4.168690e+00 7.247314e-01
4.365154e+00 7.230225e-01
4.570877e+00 7.126465e-01
4.786296e+00 7.154541e-01
5.011867e+00 7.061768e-01
5.248068e+00 6.979370e-01
5.495402e+00 6.946411e-01
5.754392e+00 6.907959e-01
6.025588e+00 6.805420e-01
6.309565e+00 6.863403e-01
6.606925e+00 6.772461e-01
6.918300e+00 6.712036e-01
7.244349e+00 6.667480e-01
7.585764e+00 6.620483e-01
7.943270e+00 6.570435e-01
8.317624e+00 6.550293e-01
8.709621e+00 6.461182e-01
9.120093e+00 6.392822e-01
9.549910e+00 6.322632e-01
