#./underdamped_3d_var --dev=3 --amp=17.85 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-1:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp17.85.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 2.459536e-05 3.219699e+01 1.568339e-08 2.426686e-01 5.700384e+05 7.212599e-02 1.656944e+00 -5.096774e-01 -2.803802e-04 2.492589e+01
1.047129e-01 2.332117e-05 3.229623e+01 2.008152e-08 3.013749e-01 5.939726e+05 7.515428e-02 9.230630e-01 -5.036314e-01 -2.851486e-04 3.592289e+01
1.096478e-01 2.760067e-05 3.239687e+01 2.640702e-08 3.781864e-01 6.528299e+05 8.260142e-02 4.725165e-01 -5.081376e-01 -2.895594e-04 3.366410e+01
1.148153e-01 2.693261e-05 3.249859e+01 3.396555e-08 4.650909e-01 7.404402e+05 9.368690e-02 3.927338e-01 -5.076407e-01 -2.415776e-04 4.582541e+01
1.202264e-01 3.718938e-05 3.260266e+01 4.422333e-08 5.337814e-01 8.474294e+05 1.072236e-01 1.773505e-01 -5.092756e-01 -2.077818e-04 3.097521e+01
1.258925e-01 4.172958e-05 3.270788e+01 5.565721e-08 5.970169e-01 9.858744e+05 1.247406e-01 1.117285e-01 -5.077249e-01 -2.058744e-04 3.096196e+01
1.318256e-01 3.118797e-05 3.281472e+01 6.851884e-08 6.475632e-01 1.169624e+06 1.479905e-01 3.984070e-02 -5.066761e-01 -2.026558e-04 6.944265e+01
1.380384e-01 4.002754e-05 3.292428e+01 8.580501e-08 7.029505e-01 1.384534e+06 1.751829e-01 2.202153e-02 -5.088474e-01 -2.660751e-04 5.255436e+01
1.445439e-01 4.748523e-05 3.303521e+01 1.099889e-07 7.727639e-01 1.706969e+06 2.159795e-01 3.264105e-02 -5.087416e-01 -1.404881e-04 4.777887e+01
1.513561e-01 4.569506e-05 3.314857e+01 1.328896e-07 7.933963e-01 1.991600e+06 2.519936e-01 -2.585852e-02 -5.112475e-01 -1.113415e-04 6.264328e+01
1.584892e-01 5.338400e-05 3.326422e+01 1.654995e-07 8.383480e-01 2.472131e+06 3.127929e-01 2.198923e-02 -5.078321e-01 -2.800226e-04 5.707301e+01
1.659586e-01 6.550445e-05 3.338229e+01 1.999235e-07 8.681308e-01 2.928287e+06 3.705106e-01 1.814592e-02 -5.074357e-01 -2.790689e-04 4.559316e+01
1.737800e-01 8.580013e-05 3.350236e+01 2.441771e-07 8.877993e-01 3.462125e+06 4.380560e-01 -2.591431e-03 -5.041692e-01 -7.814169e-05 3.216875e+01
1.819700e-01 8.230411e-05 3.362480e+01 2.831246e-07 9.055187e-01 4.016520e+06 5.082029e-01 -6.807745e-03 -5.055117e-01 -2.408028e-05 4.079599e+01
1.905460e-01 1.012086e-04 3.374971e+01 3.423749e-07 9.158843e-01 4.808504e+06 6.084104e-01 -1.046956e-03 -5.071233e-01 6.926060e-05 3.242467e+01
1.995261e-01 1.207507e-04 3.387759e+01 3.887513e-07 9.289696e-01 5.374279e+06 6.799920e-01 6.849766e-03 -5.060312e-01 2.533197e-04 2.566197e+01
2.089295e-01 1.314218e-04 3.400801e+01 4.677680e-07 9.449170e-01 6.404738e+06 8.103811e-01 -1.045281e-02 -5.042905e-01 2.166033e-04 2.608294e+01
2.187760e-01 1.494746e-04 3.414124e+01 5.263475e-07 9.381129e-01 7.126080e+06 9.016533e-01 1.093030e-02 -5.077242e-01 -1.530647e-04 2.255795e+01
2.290866e-01 1.716148e-04 3.427757e+01 6.248406e-07 9.551867e-01 8.489290e+06 1.074136e+00 -5.937874e-03 -5.042620e-01 -2.549887e-04 2.021581e+01
2.398831e-01 1.986577e-04 3.441731e+01 7.201838e-07 9.463738e-01 9.626753e+06 1.218053e+00 -3.321588e-03 -5.072494e-01 2.193451e-04 1.724873e+01
2.511884e-01 2.013045e-04 3.455888e+01 8.072985e-07 9.448735e-01 1.086928e+07 1.375277e+00 1.183033e-02 -5.048368e-01 7.224083e-05 1.892173e+01
2.630266e-01 1.995123e-04 3.470348e+01 9.230301e-07 9.458768e-01 1.239483e+07 1.568292e+00 -4.509270e-03 -5.002029e-01 -1.950860e-04 2.218871e+01
2.754226e-01 2.409514e-04 3.485221e+01 1.071974e-06 9.485961e-01 1.437464e+07 1.818799e+00 -7.796288e-05 -5.044528e-01 2.137423e-04 1.746399e+01
2.884029e-01 2.340140e-04 3.500272e+01 1.218595e-06 9.593907e-01 1.640696e+07 2.075949e+00 1.773000e-03 -5.037515e-01 -2.450943e-04 2.125234e+01
3.019949e-01 2.551742e-04 3.515748e+01 1.384738e-06 9.552089e-01 1.842461e+07 2.331226e+00 -5.868673e-03 -5.052723e-01 2.248287e-04 2.026641e+01
3.162274e-01 2.929211e-04 3.531450e+01 1.593402e-06 9.661891e-01 2.109367e+07 2.668944e+00 3.130794e-03 -5.033213e-01 -8.106232e-05 1.757052e+01
3.311308e-01 2.799745e-04 3.547582e+01 1.797645e-06 9.573078e-01 2.413279e+07 3.053497e+00 -1.616120e-02 -5.008017e-01 -1.325607e-04 2.193333e+01
3.467365e-01 3.461392e-04 3.563903e+01 2.049888e-06 9.641331e-01 2.680125e+07 3.391110e+00 3.681779e-03 -5.002777e-01 4.291534e-05 1.610915e+01
3.630777e-01 3.335615e-04 3.580662e+01 2.245144e-06 9.538762e-01 3.003449e+07 3.800209e+00 -1.002675e-02 -5.056688e-01 1.392365e-04 1.917866e+01
3.801890e-01 3.548783e-04 3.597753e+01 2.542150e-06 9.559340e-01 3.400407e+07 4.302468e+00 -5.084515e-03 -5.016626e-01 9.238720e-05 1.918564e+01
3.981068e-01 3.614562e-04 3.615097e+01 2.846607e-06 9.586701e-01 3.813898e+07 4.825640e+00 2.049327e-03 -4.995626e-01 8.344650e-06 2.078794e+01
4.168690e-01 4.039879e-04 3.632909e+01 3.210805e-06 9.659708e-01 4.262941e+07 5.393821e+00 -6.233454e-03 -4.995185e-01 -9.006262e-05 1.867330e+01
4.365154e-01 4.314012e-04 3.651084e+01 3.591952e-06 9.558110e-01 4.760425e+07 6.023276e+00 -1.702738e-02 -4.985598e-01 7.021427e-05 1.830046e+01
4.570878e-01 4.251537e-04 3.669665e+01 3.974864e-06 9.581128e-01 5.317582e+07 6.728233e+00 -2.915365e-02 -5.016058e-01 -5.882978e-05 2.099026e+01
4.786297e-01 4.677994e-04 3.688630e+01 4.564170e-06 9.846426e-01 6.024041e+07 7.622120e+00 -1.360583e-02 -5.019375e-01 -9.775162e-06 1.985656e+01
5.011868e-01 4.751929e-04 3.708109e+01 5.034208e-06 9.702595e-01 6.717801e+07 8.499917e+00 -2.348506e-02 -4.965756e-01 1.239777e-05 2.129416e+01
5.248070e-01 4.866674e-04 3.728040e+01 5.651818e-06 9.763231e-01 7.618014e+07 9.638921e+00 -7.162869e-03 -4.969440e-01 -1.561642e-05 2.286292e+01
5.495405e-01 5.241549e-04 3.748463e+01 6.348527e-06 9.607607e-01 8.538462e+07 1.080360e+01 -1.400733e-02 -4.981765e-01 -1.549721e-06 2.210754e+01
5.754395e-01 5.314376e-04 3.769393e+01 7.075676e-06 9.747258e-01 9.483548e+07 1.199938e+01 -3.466070e-02 -5.001382e-01 -3.099442e-06 2.405321e+01
6.025591e-01 5.320400e-04 3.790866e+01 7.976378e-06 9.800268e-01 1.068556e+08 1.352024e+01 -2.858126e-02 -4.966578e-01 -2.920628e-06 2.717845e+01
6.309568e-01 5.365682e-04 3.812907e+01 8.873489e-06 9.718462e-01 1.187612e+08 1.502664e+01 -2.197349e-02 -4.961187e-01 -5.364418e-06 2.982085e+01
6.606929e-01 5.672440e-04 3.835609e+01 9.934139e-06 9.714985e-01 1.342417e+08 1.698536e+01 -1.608878e-02 -4.955373e-01 1.907349e-06 2.987383e+01
6.918304e-01 5.724676e-04 3.858797e+01 1.111436e-05 9.787437e-01 1.510100e+08 1.910696e+01 -3.501880e-02 -4.949762e-01 6.914139e-06 3.291428e+01
7.244353e-01 6.482532e-04 3.882645e+01 1.247260e-05 9.842497e-01 1.683453e+08 2.130036e+01 -3.651947e-02 -4.894639e-01 7.510185e-06 2.868024e+01
7.585769e-01 5.879772e-04 3.907145e+01 1.345983e-05 9.700641e-01 1.846080e+08 2.335811e+01 -3.235257e-02 -4.978914e-01 -8.344650e-07 3.793308e+01
7.943276e-01 5.715510e-04 3.932237e+01 1.499982e-05 9.776813e-01 2.058576e+08 2.604697e+01 -3.761828e-02 -4.933052e-01 4.768372e-06 4.491727e+01
8.317630e-01 6.262820e-04 3.958056e+01 1.622059e-05 9.794402e-01 2.204804e+08 2.789706e+01 -3.965169e-02 -4.900920e-01 2.980232e-06 4.035489e+01
8.709628e-01 6.207739e-04 3.984383e+01 1.769101e-05 9.607942e-01 2.418704e+08 3.060341e+01 -4.737872e-02 -4.950146e-01 3.695488e-06 4.490773e+01
9.120100e-01 5.544454e-04 4.011428e+01 1.940149e-05 9.655262e-01 2.675747e+08 3.385567e+01 -4.660803e-02 -4.865801e-01 1.192093e-06 6.211282e+01
9.549918e-01 6.547236e-04 4.038943e+01 2.127377e-05 9.669000e-01 2.928230e+08 3.705042e+01 -4.208565e-02 -4.889009e-01 3.218651e-06 4.862820e+01
9.999991e-01 5.558970e-04 4.067049e+01 2.341784e-05 9.703400e-01 3.227507e+08 4.083711e+01 -5.386847e-02 -4.914555e-01 5.960464e-07 7.478062e+01
1.047128e+00 5.524520e-04 4.095709e+01 2.535951e-05 9.647536e-01 3.515478e+08 4.448074e+01 -6.649989e-02 -4.872269e-01 -1.549721e-06 8.209059e+01
1.096477e+00 6.290408e-04 4.124903e+01 2.701174e-05 9.533802e-01 3.715182e+08 4.700763e+01 -6.406885e-02 -4.876595e-01 2.026558e-06 6.726450e+01
1.148153e+00 6.040403e-04 4.154549e+01 3.006842e-05 9.624752e-01 4.146446e+08 5.246370e+01 -6.883764e-02 -4.862006e-01 -2.861023e-06 8.140977e+01
1.202263e+00 6.033125e-04 4.184555e+01 3.233017e-05 9.736528e-01 4.446643e+08 5.626261e+01 -4.697043e-02 -4.849417e-01 -2.324581e-06 8.782258e+01
1.258924e+00 6.281158e-04 4.215065e+01 3.532224e-05 9.693609e-01 4.898276e+08 6.197707e+01 -7.064253e-02 -4.827312e-01 1.049042e-05 8.853003e+01
1.318256e+00 5.984144e-04 4.245935e+01 3.669623e-05 9.457090e-01 5.080368e+08 6.428100e+01 -5.365026e-02 -4.772026e-01 7.390976e-06 1.014749e+02
1.380383e+00 5.912593e-04 4.276985e+01 3.957610e-05 9.603557e-01 5.480549e+08 6.934444e+01 -5.600649e-02 -4.746309e-01 6.675720e-06 1.122080e+02
1.445438e+00 5.676315e-04 4.308430e+01 4.272733e-05 9.656748e-01 5.964530e+08 7.546803e+01 -4.967302e-02 -4.762784e-01 -5.960464e-08 1.316089e+02
1.513560e+00 6.542850e-04 4.340072e+01 4.617361e-05 9.746004e-01 6.335161e+08 8.015787e+01 -5.137229e-02 -4.771984e-01 5.364418e-06 1.068599e+02
1.584892e+00 6.604814e-04 4.371939e+01 4.887125e-05 9.747723e-01 6.814853e+08 8.622704e+01 -5.600673e-02 -4.728016e-01 -3.874302e-06 1.110295e+02
1.659585e+00 6.627838e-04 4.403966e+01 5.226670e-05 9.705765e-01 7.218768e+08 9.133789e+01 -4.329687e-02 -4.703331e-01 1.549721e-06 1.179820e+02
1.737799e+00 5.935084e-04 4.436068e+01 5.513405e-05 9.722026e-01 7.580052e+08 9.590841e+01 -6.444854e-02 -4.764050e-01 1.907349e-06 1.555187e+02
1.819699e+00 5.511102e-04 4.468229e+01 5.810240e-05 9.770673e-01 8.083165e+08 1.022751e+02 -5.137217e-02 -4.719980e-01 5.483627e-06 1.903009e+02
1.905459e+00 6.322137e-04 4.500482e+01 6.092329e-05 9.729277e-01 8.433169e+08 1.067035e+02 -4.795951e-02 -4.701011e-01 5.722046e-06 1.514248e+02
1.995260e+00 5.589909e-04 4.532839e+01 6.435197e-05 9.799766e-01 8.944344e+08 1.131710e+02 -5.415553e-02 -4.683481e-01 4.887581e-06 2.049455e+02
2.089294e+00 4.206758e-04 4.565159e+01 6.710490e-05 9.784240e-01 9.356945e+08 1.183919e+02 -5.752003e-02 -4.620430e-01 2.980232e-06 3.781920e+02
2.187760e+00 5.862907e-04 4.597520e+01 7.107019e-05 9.877357e-01 9.939802e+08 1.257666e+02 -5.047077e-02 -4.564805e-01 -3.874302e-06 2.057576e+02
2.290866e+00 5.461798e-04 4.629989e+01 7.451355e-05 9.904419e-01 1.041230e+09 1.317450e+02 -5.783075e-02 -4.580371e-01 0.000000e+00 2.487837e+02
2.398831e+00 2.941062e-04 4.662419e+01 7.785951e-05 9.988078e-01 1.092710e+09 1.382586e+02 -3.593957e-02 -4.594605e-01 4.529953e-06 8.991258e+02
2.511884e+00 6.308903e-04 4.694829e+01 8.196414e-05 9.972196e-01 1.144288e+09 1.447842e+02 -4.372519e-02 -4.581661e-01 4.649162e-06 2.049284e+02
2.630266e+00 3.700568e-04 4.727352e+01 8.617296e-05 1.003231e+00 1.205074e+09 1.524747e+02 -3.944743e-02 -4.583146e-01 -4.470348e-06 6.282661e+02
2.754227e+00 4.461153e-04 4.759825e+01 9.006179e-05 1.007600e+00 1.268002e+09 1.604381e+02 -4.301220e-02 -4.543628e-01 2.384186e-06 4.515289e+02
2.884029e+00 3.344193e-04 4.773178e+01 9.144987e-05 9.936922e-01 1.285270e+09 1.626231e+02 -4.012573e-02 -4.483048e-01 3.814697e-06 8.167120e+02
3.019950e+00 2.999978e-04 4.774271e+01 9.837565e-05 1.013642e+00 1.376240e+09 1.741333e+02 -3.755713e-02 -4.476223e-01 0.000000e+00 1.092078e+03
3.162276e+00 2.073141e-04 4.774957e+01 1.009764e-04 1.002423e+00 1.413258e+09 1.788167e+02 -4.055935e-02 -4.461073e-01 5.006790e-06 2.348427e+03
3.311309e+00 3.014821e-04 4.775651e+01 1.069837e-04 1.019658e+00 1.488412e+09 1.883267e+02 -4.022753e-02 -4.428592e-01 -1.788139e-06 1.176048e+03
3.467366e+00 1.672208e-04 4.777751e+01 1.096182e-04 1.010029e+00 1.539182e+09 1.947506e+02 -3.443336e-02 -4.377614e-01 3.933907e-06 3.919145e+03
3.630778e+00 3.280644e-04 4.780460e+01 1.139223e-04 9.913785e-01 1.575854e+09 1.993895e+02 -5.197734e-02 -4.401379e-01 -4.947186e-06 1.057499e+03
