#./underdamped_3d_var --dev=3 --amp=14 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-1:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp14.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
4.365154e-01 -3.087539e-04 2.413604e+01 1.087045e-04 1.039089e+00 1.534454e+09 1.941511e+02 -2.825648e-02 -4.670163e-01 1.549721e-06 1.139309e+03
4.570878e-01 -3.985348e-04 2.415471e+01 1.064200e-04 1.026193e+00 1.505877e+09 1.905365e+02 -2.385712e-02 -4.667883e-01 1.430511e-06 6.690244e+02
4.786297e-01 -3.586657e-04 2.417070e+01 1.027336e-04 1.028718e+00 1.440467e+09 1.822596e+02 1.764739e-02 -4.676626e-01 1.788139e-06 7.976068e+02
5.011868e-01 -3.702597e-04 2.418892e+01 1.012189e-04 1.023425e+00 1.430337e+09 1.809780e+02 -3.111362e-03 -4.656063e-01 7.033348e-06 7.373267e+02
5.248070e-01 -3.744676e-04 2.421066e+01 1.004159e-04 1.033408e+00 1.411823e+09 1.786363e+02 -2.155304e-02 -4.669425e-01 -2.682209e-06 7.151008e+02
5.495405e-01 -4.389332e-04 2.422877e+01 9.489978e-05 1.005832e+00 1.340038e+09 1.695526e+02 -3.593683e-03 -4.635325e-01 -2.384186e-07 4.915703e+02
5.754395e-01 -4.135384e-04 2.425161e+01 9.718597e-05 1.040529e+00 1.364621e+09 1.726635e+02 -2.436745e-02 -4.669524e-01 1.430511e-06 5.672925e+02
6.025591e-01 -5.367208e-04 2.427672e+01 9.161024e-05 1.006294e+00 1.292749e+09 1.635699e+02 -2.480501e-02 -4.618543e-01 -3.635883e-06 3.170147e+02
6.309568e-01 -5.465076e-04 2.430142e+01 9.170757e-05 1.025815e+00 1.286539e+09 1.627832e+02 -1.596129e-02 -4.608505e-01 -5.245209e-06 3.060526e+02
6.606929e-01 -3.811560e-04 2.432688e+01 9.022150e-05 1.028181e+00 1.260594e+09 1.595005e+02 -2.445877e-02 -4.595273e-01 1.430511e-06 6.200184e+02
6.918304e-01 -3.477415e-04 2.435455e+01 9.036118e-05 1.039976e+00 1.267584e+09 1.603853e+02 -1.842922e-02 -4.617341e-01 4.053116e-06 7.462549e+02
7.244353e-01 -3.887118e-04 2.438424e+01 8.767274e-05 1.036964e+00 1.231626e+09 1.558355e+02 -1.405543e-02 -4.582909e-01 7.748604e-06 5.792419e+02
7.585769e-01 -3.980724e-04 2.441594e+01 8.379652e-05 1.003340e+00 1.178795e+09 1.491507e+02 -2.329600e-02 -4.597838e-01 1.907349e-06 5.278126e+02
