#./underdamped_3d_var --dev=3 --amp=0 --omega=1.59 --force=0 --gam=0.03183 --Dg=1 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=a:0:35:100:0 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_Dg1.dat
#a <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
1.120000e+01 3.493760e-04 1.805342e+01 6.126599e-05 9.911451e-01 8.565713e+08 1.083810e+02 4.287601e-03 -4.058691e-01 2.980232e-06 5.009185e+02
1.155000e+01 2.800130e-04 1.946988e+01 5.284127e-05 1.002334e+00 7.417941e+08 9.385808e+01 5.450249e-04 -4.212566e-01 -1.013279e-06 6.729330e+02
1.190000e+01 4.374748e-04 2.094749e+01 4.376830e-05 9.930941e-01 6.180321e+08 7.819854e+01 -1.468569e-02 -4.272479e-01 1.907349e-06 2.276934e+02
1.225000e+01 2.530569e-04 2.265293e+01 4.091925e-05 9.964424e-01 5.708838e+08 7.223302e+01 3.725290e-04 -4.423217e-01 5.960464e-07 6.379858e+02
1.260000e+01 3.002637e-04 2.387191e+01 4.190876e-05 1.005954e+00 5.890168e+08 7.452707e+01 -2.059251e-02 -4.474348e-01 -4.172325e-07 4.638353e+02
1.295000e+01 1.077155e-04 2.388908e+01 4.889859e-05 1.007846e+00 6.866086e+08 8.687532e+01 -1.596630e-02 -4.527729e-01 2.384186e-07 4.213440e+03
1.330000e+01 5.824346e-06 2.396184e+01 5.715101e-05 1.004277e+00 8.049284e+08 1.018463e+02 -7.500648e-03 -4.520819e-01 -5.424023e-06 1.684726e+06
1.365000e+01 -9.364697e-05 2.417647e+01 7.086201e-05 1.034570e+00 9.923332e+08 1.255583e+02 -3.341401e-02 -4.532447e-01 -2.443790e-06 8.079274e+03
1.400000e+01 -3.306807e-04 2.465169e+01 7.858737e-05 1.018963e+00 1.110746e+09 1.405408e+02 -3.166318e-02 -4.566638e-01 -5.483627e-06 7.176790e+02
1.435001e+01 -2.549076e-04 2.543756e+01 8.043746e-05 1.031239e+00 1.126619e+09 1.425485e+02 -3.498507e-02 -4.467854e-01 2.325773e-04 1.236920e+03
1.470001e+01 -6.367610e-05 2.648645e+01 7.502476e-05 1.025511e+00 1.053041e+09 1.332392e+02 -2.487475e-02 -4.580422e-01 1.523495e-04 1.850241e+04
1.505001e+01 -4.079619e-05 2.769668e+01 7.180848e-05 1.024207e+00 1.013686e+09 1.282595e+02 -1.369417e-02 -4.542124e-01 1.463890e-04 4.314462e+04
1.540001e+01 1.560428e-04 2.896610e+01 6.708225e-05 1.017092e+00 9.454616e+08 1.196273e+02 -9.526789e-03 -4.529111e-01 6.663799e-05 2.753991e+03
1.575001e+01 1.559013e-04 3.019180e+01 6.242768e-05 1.013515e+00 8.724366e+08 1.103882e+02 -1.954794e-02 -4.587867e-01 -7.510185e-06 2.567490e+03
1.610001e+01 1.368301e-04 3.128037e+01 5.619184e-05 1.008770e+00 7.892285e+08 9.985984e+01 -8.978486e-03 -4.677206e-01 -2.920628e-06 3.000306e+03
1.645001e+01 1.697543e-04 3.222305e+01 4.900607e-05 9.985637e-01 6.971779e+08 8.821249e+01 -2.848095e-02 -4.661518e-01 8.344650e-07 1.699624e+03
1.680001e+01 3.637561e-04 3.320534e+01 4.065341e-05 9.902341e-01 5.678105e+08 7.184400e+01 -2.562189e-02 -4.777098e-01 5.602837e-06 3.062389e+02
