#./underdamped_3d_var --dev=3 --amp=0 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.1 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=a:0:35:100:0 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_Dg0.1.dat
#a <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
1.120000e+01 1.463611e-04 1.532717e+01 5.517382e-05 1.004587e+00 7.769048e+08 9.830052e+01 7.225275e-03 -4.644279e-01 8.463860e-06 2.574620e+03
1.155000e+01 -4.405144e-05 1.664781e+01 4.717467e-05 9.991641e-01 6.591414e+08 8.339960e+01 -1.782596e-03 -4.658670e-01 -2.801418e-06 2.430921e+04
1.190000e+01 1.376742e-04 1.783373e+01 4.296075e-05 9.923909e-01 6.055511e+08 7.661934e+01 5.398750e-03 -4.738581e-01 -4.947186e-06 2.265559e+03
1.225000e+01 1.697097e-04 1.987274e+01 5.558280e-05 1.002715e+00 7.877836e+08 9.967658e+01 -3.045440e-03 -4.743500e-01 1.192093e-07 1.928866e+03
1.260000e+01 4.635551e-04 2.324973e+01 1.305970e-04 9.933178e-01 1.827364e+09 2.312135e+02 7.781982e-03 -4.716396e-01 -8.940697e-07 6.067579e+02
1.295000e+01 1.686103e-03 2.386468e+01 5.669237e-04 1.009199e+00 7.943838e+09 1.005120e+03 7.579327e-04 -4.638457e-01 1.478195e-05 1.984143e+02
1.330000e+01 5.015095e-03 2.386468e+01 2.561774e-03 9.985916e-01 3.554036e+10 4.496868e+03 1.502371e-02 -4.616079e-01 1.299381e-05 1.008550e+02
1.365000e+01 3.842448e-03 2.386517e+01 1.725204e-03 1.000546e+00 2.412018e+10 3.051876e+03 -8.485675e-03 -4.696775e-01 3.921986e-05 1.158488e+02
1.400000e+01 1.959124e-03 2.389779e+01 2.565501e-04 9.968211e-01 3.548904e+09 4.490361e+02 -1.006758e-02 -4.841286e-01 2.408028e-05 6.584180e+01
1.435001e+01 1.151674e-03 2.403469e+01 1.007373e-04 9.992541e-01 1.398099e+09 1.768990e+02 5.959153e-03 -4.865793e-01 1.084805e-05 7.495058e+01
1.470001e+01 6.912185e-04 2.436978e+01 8.540969e-05 9.954613e-01 1.191789e+09 1.507945e+02 -8.544445e-03 -4.792296e-01 -2.797246e-04 1.777625e+02
1.505001e+01 2.523521e-04 2.502896e+01 9.063330e-05 9.925619e-01 1.271963e+09 1.609395e+02 9.594440e-03 -4.774807e-01 -1.320243e-04 1.422226e+03
1.540001e+01 1.732516e-04 2.600133e+01 9.353484e-05 1.001363e+00 1.320242e+09 1.670475e+02 -1.360691e-02 -4.843689e-01 2.074242e-04 3.115156e+03
1.575001e+01 1.110030e-04 2.681355e+01 8.844669e-05 1.002299e+00 1.246408e+09 1.577057e+02 -1.457036e-02 -4.806334e-01 -1.716614e-05 7.177142e+03
1.610001e+01 4.152112e-04 2.667229e+01 6.194435e-05 9.998373e-01 8.666808e+08 1.096589e+02 -5.944073e-03 -4.896870e-01 1.215935e-05 3.583053e+02
1.645001e+01 2.133716e-04 2.513317e+01 1.508755e-05 1.008517e+00 2.131243e+08 2.696607e+01 7.359743e-03 -5.016942e-01 1.429319e-04 3.303947e+02
1.680001e+01 9.486095e-05 2.434295e+01 1.386393e-06 8.824980e-01 2.041229e+07 2.582736e+00 -1.920938e-03 -4.994884e-01 -2.707839e-04 1.530676e+02
1.715001e+01 2.053633e-05 2.460810e+01 9.303518e-08 3.621925e-01 2.392242e+06 3.026859e-01 1.353368e+00 -5.082196e-01 -2.682209e-04 2.195980e+02
