#./underdamped_3d_var --dev=3 --amp=9.81 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-1:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp9.81.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 -1.463008e-06 1.193234e+01 8.056175e-09 4.780604e-01 1.749432e+05 2.213523e-02 1.666600e-01 -5.099779e-01 4.172325e-06 3.762877e+03
1.047129e-01 -1.679202e-06 1.193234e+01 1.042317e-08 5.277326e-01 2.087966e+05 2.641859e-02 1.267257e-01 -5.154698e-01 4.768372e-07 3.695528e+03
1.096478e-01 -4.940327e-06 1.193234e+01 1.377029e-08 5.961760e-01 2.562461e+05 3.242234e-02 1.250335e-01 -5.146613e-01 2.026558e-06 5.631982e+02
1.148153e-01 -2.996916e-06 1.193234e+01 1.791731e-08 6.769189e-01 3.060362e+05 3.872234e-02 2.945375e-02 -5.154552e-01 -1.847744e-06 1.993912e+03
1.202264e-01 -2.347930e-06 1.193234e+01 2.320691e-08 7.115393e-01 3.855658e+05 4.878492e-02 2.761149e-02 -5.112216e-01 -1.430511e-06 4.208659e+03
1.258925e-01 -1.214346e-06 1.193234e+01 2.964076e-08 7.437674e-01 4.735370e+05 5.991592e-02 6.913781e-03 -5.167319e-01 2.145767e-06 2.009940e+04
1.318256e-01 1.053633e-06 1.193234e+01 3.670293e-08 7.771654e-01 5.747575e+05 7.272319e-02 -2.908111e-03 -5.153167e-01 7.152557e-07 3.306048e+04
1.380384e-01 1.087668e-05 1.193234e+01 4.739326e-08 8.148188e-01 7.304252e+05 9.241919e-02 1.099730e-02 -5.145974e-01 2.741814e-06 3.996122e+02
1.445439e-01 1.207983e-05 1.193234e+01 6.271301e-08 8.698151e-01 9.411875e+05 1.190870e-01 2.406609e-02 -5.124292e-01 2.622604e-06 4.287697e+02
1.513561e-01 2.979883e-05 1.193236e+01 7.932771e-08 9.032400e-01 1.173738e+06 1.485107e-01 2.601707e-02 -5.105292e-01 6.437302e-06 8.833597e+01
1.584892e-01 3.226499e-05 1.193239e+01 9.914190e-08 9.058376e-01 1.435808e+06 1.816705e-01 -8.385718e-03 -5.107875e-01 3.457069e-06 9.423447e+01
1.659586e-01 3.760351e-05 1.193245e+01 1.244690e-07 9.262359e-01 1.766023e+06 2.234509e-01 -1.200765e-02 -5.097094e-01 3.933907e-06 8.702464e+01
1.737800e-01 4.933056e-05 1.193251e+01 1.553474e-07 9.464877e-01 2.211330e+06 2.797949e-01 5.588174e-03 -5.130529e-01 4.529953e-06 6.283694e+01
1.819700e-01 5.586534e-05 1.193253e+01 1.895697e-07 9.622837e-01 2.687249e+06 3.400124e-01 -1.126856e-02 -5.105602e-01 4.172325e-06 5.974129e+01
1.905460e-01 6.242384e-05 1.193256e+01 2.292837e-07 9.680872e-01 3.232949e+06 4.090600e-01 -4.799068e-03 -5.079764e-01 2.741814e-06 5.783995e+01
1.995261e-01 5.647152e-05 1.193264e+01 2.726981e-07 9.878548e-01 3.843468e+06 4.863088e-01 2.202868e-03 -5.076238e-01 -1.192093e-07 8.451124e+01
2.089295e-01 6.486334e-05 1.193286e+01 3.302784e-07 9.853746e-01 4.676422e+06 5.916996e-01 2.896428e-02 -5.055608e-01 6.079674e-06 7.750215e+01
2.187760e-01 8.159151e-05 1.193326e+01 3.917113e-07 9.894688e-01 5.536924e+06 7.005733e-01 -2.773881e-03 -5.020618e-01 2.741814e-06 5.784047e+01
2.290866e-01 1.034806e-04 1.193355e+01 4.634098e-07 9.843006e-01 6.451860e+06 8.163409e-01 -1.631141e-02 -5.040245e-01 -1.668930e-06 4.227600e+01
2.398831e-01 1.019375e-04 1.193424e+01 5.565885e-07 1.001521e+00 7.833096e+06 9.911103e-01 -1.207292e-03 -5.039307e-01 5.841255e-06 5.256319e+01
2.511884e-01 1.353684e-04 1.193570e+01 6.620318e-07 9.892803e-01 9.161907e+06 1.159239e+00 1.213527e-02 -5.043312e-01 2.384186e-06 3.512805e+01
2.630266e-01 1.422757e-04 1.193671e+01 7.879692e-07 9.876357e-01 1.082610e+07 1.369807e+00 1.661122e-02 -4.977185e-01 1.668930e-06 3.792670e+01
2.754226e-01 1.521331e-04 1.193731e+01 9.244501e-07 9.855958e-01 1.275559e+07 1.613943e+00 2.100265e-02 -5.009923e-01 7.510185e-06 3.894257e+01
2.884029e-01 1.766507e-04 1.193801e+01 1.057618e-06 9.614456e-01 1.452267e+07 1.837531e+00 4.237652e-02 -4.971770e-01 1.192093e-06 3.289209e+01
3.019949e-01 1.957920e-04 1.193977e+01 1.250231e-06 9.721461e-01 1.700468e+07 2.151574e+00 1.772177e-02 -4.958957e-01 -3.099442e-06 3.161372e+01
3.162274e-01 2.090051e-04 1.194339e+01 1.457659e-06 9.735789e-01 1.986888e+07 2.513972e+00 2.613950e-02 -4.941396e-01 -4.053116e-06 3.236894e+01
3.311308e-01 2.512473e-04 1.194852e+01 1.706755e-06 9.710980e-01 2.335043e+07 2.954502e+00 1.515138e-02 -4.943556e-01 3.218651e-06 2.603762e+01
3.467365e-01 2.680221e-04 1.195263e+01 2.053352e-06 9.892914e-01 2.777318e+07 3.514091e+00 1.534498e-02 -4.930763e-01 7.987022e-06 2.758395e+01
3.630777e-01 2.956338e-04 1.195721e+01 2.331403e-06 9.678403e-01 3.163502e+07 4.002716e+00 1.195121e-02 -4.896853e-01 2.264977e-06 2.567530e+01
3.801890e-01 3.338168e-04 1.196531e+01 2.764960e-06 9.888868e-01 3.748120e+07 4.742423e+00 5.536199e-03 -4.890534e-01 6.079674e-06 2.381261e+01
3.981068e-01 3.505333e-04 1.197257e+01 3.307462e-06 9.692106e-01 4.434322e+07 5.610652e+00 2.947271e-02 -4.831879e-01 -3.576279e-07 2.591761e+01
4.168690e-01 3.890202e-04 1.198315e+01 3.871320e-06 9.749316e-01 5.215962e+07 6.599635e+00 3.192568e-02 -4.840026e-01 -5.960464e-08 2.458084e+01
4.365154e-01 4.411247e-04 1.199502e+01 4.500723e-06 9.768555e-01 6.048985e+07 7.653680e+00 2.230191e-02 -4.847254e-01 -2.205372e-06 2.212914e+01
4.570878e-01 4.823675e-04 1.200920e+01 5.247531e-06 9.662547e-01 7.044450e+07 8.913210e+00 -5.967021e-03 -4.817845e-01 7.152557e-07 2.155272e+01
