#./underdamped_3d_var --dev=3 --amp=0 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.2 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=a:0:35:100:0 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_Dg0.2.dat
#a <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
0.000000e+00 -4.152832e-06 1.508944e-01 4.659036e-10 9.079303e-01 6.396113e+03 8.092903e-04 1.298258e-01 2.811491e-02 2.062321e-05 2.601514e+01
3.500000e-01 5.984943e-06 1.960572e-01 3.411403e-09 9.612371e-01 4.800391e+04 6.073873e-03 5.215847e-02 -4.390657e-02 1.454353e-05 9.423860e+01
7.000000e-01 8.717549e-06 3.255174e-01 4.828271e-08 9.902446e-01 6.786406e+05 8.586740e-02 -1.523393e-02 -1.719236e-01 6.437302e-06 6.343351e+02
1.050000e+00 1.404541e-05 5.030435e-01 2.223591e-07 9.976519e-01 3.132588e+06 3.963614e-01 -5.658269e-04 -2.515292e-01 2.026558e-06 1.126161e+03
1.400000e+00 1.476427e-05 7.883121e-01 6.419849e-07 9.992306e-01 8.962902e+06 1.134057e+00 -1.948982e-02 -2.966014e-01 1.120567e-05 2.944106e+03
1.750000e+00 1.755255e-05 1.095371e+00 1.248221e-06 1.009943e+00 1.760838e+07 2.227955e+00 6.519556e-04 -3.237928e-01 1.049042e-05 4.050452e+03
2.100000e+00 3.311654e-05 1.533059e+00 1.843060e-06 9.952198e-01 2.605484e+07 3.296673e+00 1.198316e-02 -3.126994e-01 8.583069e-06 1.679542e+03
2.450000e+00 3.455710e-05 1.895750e+00 3.015106e-06 9.995811e-01 4.232966e+07 5.355896e+00 -9.157300e-03 -2.893554e-01 5.483627e-06 2.523806e+03
2.800000e+00 3.509179e-05 2.568883e+00 5.220029e-06 9.985717e-01 7.325674e+07 9.269077e+00 1.382446e-02 -2.560727e-01 2.741814e-06 4.237984e+03
3.150000e+00 6.486012e-05 3.146664e+00 9.285130e-06 1.006560e+00 1.295165e+08 1.638752e+01 1.752138e-03 -2.215489e-01 3.933907e-06 2.206153e+03
3.500000e+00 2.805806e-05 3.726302e+00 1.734929e-05 1.022487e+00 2.444954e+08 3.093546e+01 1.467919e-02 -2.050427e-01 6.079674e-06 2.203671e+04
3.849999e+00 3.518535e-06 4.573094e+00 2.777428e-05 9.866802e-01 3.880790e+08 4.910309e+01 5.499721e-03 -2.168210e-01 4.768372e-06 2.243463e+06
4.199999e+00 -6.739577e-05 5.573142e+00 3.988531e-05 9.984369e-01 5.612216e+08 7.101058e+01 -2.780879e-02 -2.228303e-01 4.887581e-06 8.780075e+03
4.549999e+00 -7.056180e-05 6.144755e+00 5.401521e-05 1.005441e+00 7.643487e+08 9.671152e+01 8.671403e-03 -2.298272e-01 1.037121e-05 1.084768e+04
