#./underdamped_3d_var --dev=3 --amp=0 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=a:0:35:100:0 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_Dg0.5.dat
#a <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
0.000000e+00 1.108403e-04 3.838271e-01 2.916856e-07 9.802377e-01 3.906768e+06 4.943150e-01 2.356899e-02 5.305171e-03 2.765656e-05 2.274213e+01
3.500000e-01 8.116438e-05 4.316789e-01 5.466107e-07 9.802014e-01 7.541936e+06 9.542639e-01 -1.462591e-02 1.404345e-02 3.254414e-05 8.197500e+01
7.000000e-01 8.167925e-05 6.170288e-01 1.348779e-06 9.912242e-01 1.892842e+07 2.394984e+00 -5.700469e-03 -4.756516e-02 1.883507e-05 2.011702e+02
1.050000e+00 1.739976e-04 8.625684e-01 2.306262e-06 9.987667e-01 3.204636e+07 4.054798e+00 -2.348185e-03 -1.397824e-01 1.573563e-05 7.517674e+01
1.400000e+00 1.370353e-04 1.176005e+00 3.046040e-06 9.948377e-01 4.248353e+07 5.375370e+00 -1.161653e-02 -1.976839e-01 3.576279e-06 1.612073e+02
1.750000e+00 1.589520e-04 1.540994e+00 3.646163e-06 9.854561e-01 5.104781e+07 6.458974e+00 -9.481192e-03 -2.206870e-01 1.275539e-05 1.433126e+02
2.100000e+00 1.871074e-04 1.851833e+00 4.343346e-06 9.951469e-01 6.080096e+07 7.693035e+00 -8.073211e-03 -2.399372e-01 1.907349e-06 1.230630e+02
2.450000e+00 1.820814e-04 2.332518e+00 5.662074e-06 9.987056e-01 7.901307e+07 9.997375e+00 2.440214e-04 -2.323148e-01 1.168251e-05 1.697829e+02
2.800000e+00 1.665686e-04 2.960992e+00 7.867109e-06 9.973419e-01 1.098218e+08 1.389559e+01 1.501918e-02 -2.168113e-01 7.033348e-06 2.825495e+02
3.150000e+00 1.373025e-04 3.327477e+00 1.174970e-05 1.001254e+00 1.651552e+08 2.089681e+01 1.603675e-02 -1.952676e-01 -9.536743e-07 6.222607e+02
3.500000e+00 5.880466e-05 3.944867e+00 1.733576e-05 9.909672e-01 2.447722e+08 3.097062e+01 6.255388e-03 -1.935979e-01 6.794930e-06 5.012250e+03
3.849999e+00 7.554426e-05 4.747109e+00 2.550766e-05 1.023939e+00 3.598616e+08 4.553237e+01 -1.205724e-02 -2.110405e-01 1.668930e-06 4.468591e+03
4.199999e+00 7.227941e-05 5.639447e+00 3.492740e-05 1.007877e+00 4.902119e+08 6.202575e+01 6.057501e-03 -2.102354e-01 5.364418e-06 6.684547e+03
4.549999e+00 -9.007684e-05 6.146079e+00 4.499108e-05 9.893091e-01 6.316883e+08 7.992637e+01 -1.201254e-02 -2.116835e-01 -2.622604e-06 5.543981e+03
4.899999e+00 9.025181e-05 6.554696e+00 6.293962e-05 1.000671e+00 8.882690e+08 1.123906e+02 -2.667904e-03 -2.331460e-01 2.861023e-06 7.726023e+03
5.249999e+00 9.081137e-05 7.060477e+00 9.206025e-05 9.955461e-01 1.288985e+09 1.630921e+02 1.277685e-02 -2.310374e-01 -2.205372e-05 1.116228e+04
5.599999e+00 -1.188222e-04 7.636980e+00 1.398951e-04 1.018008e+00 1.961204e+09 2.481478e+02 8.154154e-03 -2.377939e-01 2.503395e-06 9.907486e+03
5.949999e+00 -5.396759e-04 8.317294e+00 1.995221e-04 1.007183e+00 2.816145e+09 3.563211e+02 9.844065e-03 -2.451397e-01 -3.874302e-06 6.840543e+02
6.299999e+00 -6.450121e-04 9.161968e+00 2.137914e-04 1.007959e+00 3.028909e+09 3.832406e+02 -7.723689e-03 -2.419749e-01 -1.251698e-06 5.128714e+02
6.649999e+00 -3.135135e-04 1.012729e+01 1.767661e-04 1.016111e+00 2.449644e+09 3.099485e+02 -3.767210e-02 -2.423636e-01 -5.960464e-07 1.797401e+03
6.999999e+00 -2.176382e-04 1.108994e+01 1.410257e-04 1.008863e+00 1.986119e+09 2.512993e+02 3.288746e-03 -2.573915e-01 -2.384186e-06 2.976338e+03
7.349998e+00 5.220770e-05 1.194408e+01 1.250284e-04 9.940220e-01 1.750454e+09 2.214828e+02 1.247919e-02 -2.676900e-01 4.768372e-06 4.587016e+04
7.699998e+00 1.312172e-04 1.220084e+01 1.172524e-04 9.925078e-01 1.638711e+09 2.073448e+02 -1.031029e-02 -2.668663e-01 3.099442e-06 6.808888e+03
8.049998e+00 1.096385e-04 1.238033e+01 1.192590e-04 1.011149e+00 1.671102e+09 2.114411e+02 7.110596e-03 -2.879359e-01 3.695488e-06 9.920222e+03
8.399999e+00 3.932353e-04 1.233771e+01 1.025023e-04 9.995681e-01 1.433488e+09 1.813770e+02 8.019209e-04 -3.172891e-01 7.390976e-06 6.618706e+02
8.749999e+00 4.657576e-04 1.212653e+01 6.866083e-05 1.017298e+00 9.682311e+08 1.225085e+02 1.280832e-02 -3.563765e-01 9.417534e-06 3.155113e+02
9.099999e+00 6.213883e-04 1.201644e+01 3.029480e-05 1.009322e+00 4.211300e+08 5.328495e+01 -1.487303e-02 -4.288315e-01 1.060963e-05 7.745886e+01
9.450000e+00 5.458839e-04 1.200759e+01 1.098317e-05 9.930663e-01 1.500953e+08 1.899129e+01 -3.212392e-03 -4.659514e-01 3.576279e-06 3.585762e+01
9.800000e+00 5.538997e-04 1.204098e+01 7.101793e-06 9.739940e-01 9.530282e+07 1.205847e+01 -2.892435e-03 -4.765449e-01 -4.768372e-06 2.214758e+01
1.015000e+01 5.433655e-04 1.237649e+01 1.382445e-05 9.820830e-01 1.891483e+08 2.393251e+01 2.187550e-02 -4.668419e-01 -1.071692e-04 4.582350e+01
1.050000e+01 5.307107e-04 1.336406e+01 2.688911e-05 9.944652e-01 3.725519e+08 4.713851e+01 1.296198e-02 -4.568015e-01 -5.364418e-07 9.446865e+01
1.085000e+01 3.655966e-04 1.490242e+01 3.624568e-05 9.762649e-01 5.109715e+08 6.465250e+01 -7.211864e-03 -4.430266e-01 -2.682209e-06 2.701764e+02
1.120000e+01 2.851665e-04 1.655762e+01 4.028327e-05 1.004523e+00 5.645909e+08 7.143639e+01 -1.232171e-02 -4.416009e-01 -1.609325e-06 4.943676e+02
1.155000e+01 2.392563e-04 1.813127e+01 3.662980e-05 9.998187e-01 5.105510e+08 6.459940e+01 -2.662241e-03 -4.399284e-01 1.192093e-06 6.388934e+02
1.190000e+01 2.014005e-04 1.977620e+01 3.380399e-05 9.935372e-01 4.765786e+08 6.030058e+01 -1.891106e-02 -4.506006e-01 3.576279e-07 8.323873e+02
1.225000e+01 2.649688e-04 2.169765e+01 3.713712e-05 9.939443e-01 5.205532e+08 6.586466e+01 8.478045e-03 -4.549262e-01 -4.053116e-06 5.279551e+02
1.260000e+01 1.500926e-04 2.386468e+01 4.769423e-05 9.959247e-01 6.723542e+08 8.507191e+01 6.610751e-03 -4.590806e-01 -5.364418e-07 2.116129e+03
1.295000e+01 1.896206e-04 2.386508e+01 6.329770e-05 9.941697e-01 8.928964e+08 1.129769e+02 -4.655123e-05 -4.609132e-01 -1.311302e-06 1.759422e+03
1.330000e+01 2.144683e-04 2.387472e+01 8.150395e-05 1.009560e+00 1.137678e+09 1.439476e+02 -1.369286e-02 -4.644164e-01 2.503395e-06 1.770954e+03
1.365000e+01 -1.427849e-04 2.394053e+01 9.626446e-05 1.014785e+00 1.345764e+09 1.702767e+02 9.428978e-03 -4.651344e-01 2.622604e-06 4.720729e+03
1.400000e+01 -4.054822e-04 2.418815e+01 1.001339e-04 1.017153e+00 1.423256e+09 1.800822e+02 -1.019537e-02 -4.660986e-01 2.622604e-06 6.080282e+02
1.435001e+01 -3.078415e-04 2.472238e+01 8.847222e-05 1.017734e+00 1.249285e+09 1.580692e+02 -2.538091e-02 -4.616046e-01 -2.079010e-04 9.325822e+02
1.470001e+01 3.300399e-05 2.555157e+01 7.569293e-05 9.986160e-01 1.069934e+09 1.353769e+02 -6.596446e-03 -4.694481e-01 1.684427e-04 6.948900e+04
1.505001e+01 -4.647410e-05 2.657454e+01 6.908743e-05 1.003769e+00 9.698880e+08 1.227181e+02 -5.152762e-03 -4.683435e-01 1.980066e-04 3.198626e+04
1.540001e+01 3.200501e-04 2.764685e+01 6.094116e-05 9.933180e-01 8.561670e+08 1.083286e+02 -1.709127e-02 -4.668237e-01 -1.322627e-04 5.939423e+02
1.575001e+01 4.979987e-04 2.858447e+01 5.406815e-05 1.007903e+00 7.541543e+08 9.542199e+01 -2.997339e-03 -4.726714e-01 -1.049042e-05 2.170143e+02
1.610001e+01 3.642552e-04 2.916286e+01 4.461134e-05 1.015180e+00 6.304617e+08 7.977132e+01 5.470991e-03 -4.757136e-01 3.576279e-06 3.352279e+02
1.645001e+01 3.880987e-04 2.932739e+01 3.292645e-05 1.007136e+00 4.611097e+08 5.834343e+01 -6.554484e-03 -4.870451e-01 9.536743e-07 2.176052e+02
1.680001e+01 5.199233e-04 2.948952e+01 1.978101e-05 9.973006e-01 2.764699e+08 3.498123e+01 8.930445e-03 -4.873528e-01 1.192093e-06 7.217622e+01
1.715001e+01 4.642063e-04 3.041163e+01 1.066457e-05 9.735402e-01 1.459694e+08 1.846922e+01 -1.158750e-02 -5.004210e-01 4.887581e-06 4.849045e+01
1.750001e+01 4.908325e-04 3.285164e+01 6.004559e-06 9.773788e-01 8.045835e+07 1.018021e+01 -2.646726e-02 -4.994581e-01 -1.347065e-05 2.392381e+01
1.785001e+01 5.211470e-04 3.707087e+01 5.071555e-06 9.616364e-01 6.749342e+07 8.539817e+00 -1.283598e-02 -5.019758e-01 2.360344e-05 1.767328e+01
1.820001e+01 4.445103e-04 4.264517e+01 7.244884e-06 9.825965e-01 9.889669e+07 1.251316e+01 -1.576424e-02 -4.952153e-01 -3.278255e-06 3.566636e+01
1.855001e+01 4.779663e-04 4.772937e+01 1.178402e-05 1.001614e+00 1.613336e+08 2.041321e+01 -1.310533e-02 -4.958012e-01 -2.980232e-06 5.058212e+01
1.890001e+01 4.160359e-04 4.773028e+01 1.750266e-05 9.971310e-01 2.438931e+08 3.085937e+01 -1.212931e-02 -4.965310e-01 -1.490116e-06 1.001213e+02
1.925001e+01 3.579519e-04 4.773392e+01 2.337812e-05 1.008192e+00 3.233404e+08 4.091184e+01 -1.690328e-02 -4.943659e-01 3.337860e-06 1.814569e+02
1.960001e+01 4.016689e-04 4.774494e+01 2.778713e-05 1.000617e+00 3.900783e+08 4.935587e+01 3.394485e-03 -4.936222e-01 3.457069e-06 1.712294e+02
1.995001e+01 2.638384e-04 4.774609e+01 3.218204e-05 1.005458e+00 4.532605e+08 5.735017e+01 -3.546226e-02 -4.915638e-01 2.861023e-06 4.613147e+02
2.030001e+01 1.866656e-04 4.774500e+01 3.773229e-05 1.011929e+00 5.308092e+08 6.716243e+01 -1.419109e-02 -4.902053e-01 -1.370907e-06 1.081890e+03
2.065001e+01 1.318102e-04 4.773930e+01 4.516428e-05 1.022854e+00 6.367091e+08 8.056173e+01 -1.795775e-02 -4.923743e-01 -2.797246e-04 2.598542e+03
2.100001e+01 6.682493e-05 4.774889e+01 5.387026e-05 1.010834e+00 7.556835e+08 9.561543e+01 9.191275e-03 -4.939794e-01 -2.797246e-04 1.206246e+04
2.135001e+01 -4.296441e-05 4.781650e+01 6.409357e-05 1.031685e+00 9.057724e+08 1.146055e+02 -9.432852e-03 -4.930184e-01 -2.797246e-04 3.472036e+04
2.170001e+01 -2.994959e-04 4.812535e+01 7.037046e-05 1.037869e+00 9.929146e+08 1.256314e+02 1.372099e-04 -4.920153e-01 -2.797246e-04 7.835282e+02
2.205001e+01 -2.777388e-04 4.885940e+01 7.052351e-05 1.048951e+00 9.890484e+08 1.251426e+02 -2.969569e-02 -4.952801e-01 -2.799034e-04 9.132413e+02
2.240001e+01 2.157012e-05 5.006896e+01 6.034115e-05 1.023995e+00 8.561709e+08 1.083302e+02 -1.493013e-02 -4.902136e-01 -2.801418e-04 1.296896e+05
2.275001e+01 1.820309e-04 5.167577e+01 5.336953e-05 1.020741e+00 7.543588e+08 9.544814e+01 5.332232e-03 -4.897987e-01 -2.420545e-04 1.609657e+03
2.310001e+01 1.580651e-04 5.349841e+01 4.604441e-05 1.022591e+00 6.475437e+08 8.193288e+01 -3.887540e-02 -4.908093e-01 -2.914667e-05 1.841914e+03
2.345001e+01 2.954811e-04 5.527082e+01 3.881685e-05 1.004536e+00 5.437334e+08 6.879768e+01 -1.650709e-02 -4.938079e-01 -2.988577e-04 4.435913e+02
2.380001e+01 3.699777e-04 5.670194e+01 3.226212e-05 1.008963e+00 4.508342e+08 5.704328e+01 -2.878565e-02 -4.979264e-01 4.005432e-05 2.346904e+02
2.415001e+01 4.016405e-04 5.790916e+01 2.457163e-05 9.952372e-01 3.448691e+08 4.363570e+01 -2.266717e-02 -5.015979e-01 1.559258e-04 1.513207e+02
2.450002e+01 4.850696e-04 5.955304e+01 1.809725e-05 1.005866e+00 2.498837e+08 3.161738e+01 2.012253e-03 -4.960474e-01 -1.263618e-04 7.591385e+01
2.485002e+01 5.315444e-04 6.250626e+01 1.180321e-05 9.824109e-01 1.616847e+08 2.045771e+01 -1.861989e-02 -4.989689e-01 -1.293421e-04 4.077543e+01
2.520002e+01 4.801961e-04 6.759672e+01 7.435847e-06 9.659734e-01 1.006076e+08 1.272965e+01 -5.726331e-02 -5.057814e-01 1.630783e-04 3.124728e+01
2.555002e+01 4.432663e-04 7.512801e+01 5.355158e-06 9.549156e-01 7.152422e+07 9.049848e+00 -6.842381e-02 -5.023069e-01 1.889467e-04 2.625480e+01
2.590002e+01 4.586552e-04 8.462222e+01 5.153778e-06 9.482078e-01 6.917552e+07 8.752621e+00 -5.063885e-02 -5.063720e-01 1.549721e-05 2.349927e+01
2.625002e+01 4.539420e-04 9.502946e+01 6.798562e-06 9.625812e-01 9.260031e+07 1.171650e+01 -4.117924e-02 -5.049220e-01 -3.844500e-05 3.199258e+01
2.660002e+01 4.977570e-04 9.545871e+01 9.995222e-06 9.768559e-01 1.358177e+08 1.718465e+01 -5.955249e-02 -5.047905e-01 -5.781651e-06 3.934202e+01
2.695002e+01 4.978472e-04 9.545871e+01 1.451271e-05 9.963633e-01 1.987954e+08 2.515323e+01 -3.723723e-02 -5.029490e-01 -3.874302e-06 5.755396e+01
2.730002e+01 3.886957e-04 9.545871e+01 1.901946e-05 1.005353e+00 2.650886e+08 3.354121e+01 -2.085716e-02 -5.009246e-01 -1.132488e-06 1.248864e+02
2.765002e+01 3.394701e-04 9.545871e+01 2.408069e-05 1.011258e+00 3.371498e+08 4.265903e+01 -2.466261e-02 -5.006597e-01 -2.503395e-06 2.079613e+02
