#./underdamped_3d_var --dev=3 --amp=6.3 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-1:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp6.3.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 -2.658559e-06 7.744684e+00 3.169205e-04 9.981506e-01 4.448072e+09 5.628056e+02 -6.490827e-03 -2.904130e-01 -4.649162e-06 4.483919e+07
1.047129e-01 -1.672170e-04 7.779466e+00 3.106940e-04 9.991678e-01 4.353986e+09 5.509009e+02 8.231401e-04 -2.877431e-01 1.430511e-06 1.111048e+04
1.096478e-01 -1.267718e-04 7.815028e+00 2.969888e-04 9.882196e-01 4.150299e+09 5.251292e+02 -2.316415e-03 -2.796913e-01 -4.470348e-06 1.847869e+04
1.148153e-01 4.477803e-05 7.851631e+00 2.925557e-04 9.968382e-01 4.097545e+09 5.184547e+02 1.875031e-02 -2.822352e-01 -3.993511e-06 1.459069e+05
1.202264e-01 9.442840e-05 7.888651e+00 2.896610e-04 9.945892e-01 4.097519e+09 5.184496e+02 1.922655e-02 -2.795732e-01 6.794930e-06 3.248413e+04
1.258925e-01 -1.619538e-05 7.926781e+00 2.814058e-04 9.970806e-01 3.948659e+09 4.996165e+02 4.377842e-03 -2.879209e-01 2.503395e-06 1.072877e+06
1.318256e-01 -4.065084e-05 7.965663e+00 2.823563e-04 1.013692e+00 3.953375e+09 5.002107e+02 -5.687475e-03 -2.784877e-01 7.748604e-06 1.708660e+05
1.380384e-01 5.050534e-05 8.005054e+00 2.783287e-04 1.004612e+00 3.956292e+09 5.005805e+02 7.083654e-03 -2.753437e-01 9.536743e-07 1.091137e+05
1.445439e-01 -4.095247e-05 8.044534e+00 2.705785e-04 1.002082e+00 3.791935e+09 4.797854e+02 2.385259e-03 -2.677059e-01 1.502037e-05 1.613357e+05
1.513561e-01 -8.238549e-05 8.084925e+00 2.663643e-04 9.963460e-01 3.735105e+09 4.725953e+02 5.536079e-04 -2.635288e-01 -3.933907e-06 3.924312e+04
